id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo
35604,17990,P. Vincenti,,,,,,,https://media.api-sports.io/football/players/17990.png
45945,463615,B. Palmer,,,,,,,https://media.api-sports.io/football/players/463615.png
48428,104515,Dalmau,,,,,,,
35042,82126,P. Hayes,,,,,,,https://media.api-sports.io/football/players/82126.png
1014,114810,M. Leigertwood,,,,,,,
47486,366040,Reon Smith-Kouassi,,,,,,,https://media.api-sports.io/football/players/366040.png
56743,31349,M. Bonato,,,,,,,
920,19609,J. O'Shea,,,,,,,https://media.api-sports.io/football/players/19609.png
35098,87883,C. Burns,,,,,,,https://media.api-sports.io/football/players/87883.png
89055,401710,V. Grishin,,,,,,,
178828,38833,Ángel Berlanga,,,,,,,
1653,19656,Lewis Price,,,,,,,https://media.api-sports.io/football/players/19656.png
76141,117698,C. Thomson,,,,,,,
48430,116946,Jesús Vázquez,,,,,,,
48426,116969,Antón de Vicente,,,,,,,
1021,82144,N. Hunt,,,,,,,
1041,20406,J. Ness,,,,,,,https://media.api-sports.io/football/players/20406.png
215083,563573,P. Brito,,,,,,,
1023,114807,J. Tabb,,,,,,,
60419,113814,A. Montaroup,,,,,,,
48433,37019,José Rodríguez,,,,,,,https://media.api-sports.io/football/players/37019.png
1000,105060,Michu,,,,,,,https://media.api-sports.io/football/players/105060.png
49910,310683,Álvaro Bastida,,,,,,,https://media.api-sports.io/football/players/310683.png
1029,114769,A. Wilkinson,,,,,,,
48435,116970,Manu,,,,,,,
62447,114926,M. Mujdža,,,,,,,
70242,361390,Leonardo de Oliveira,,,,,,,https://media.api-sports.io/football/players/361390.png
1032,114771,M. Etherington,,,,,,,
48432,46830,Erik Morán,,,,,,,https://media.api-sports.io/football/players/46830.png
74889,117276,S. Banks,,,,,,,
76142,48821,N. Mevlja,,,,,,,
97335,43130,Daisuke Sato,,,,,,,
76140,117532,Michael Miller,,,,,,,
45335,344169,A. Benarous,,,,,,,https://media.api-sports.io/football/players/344169.png
81300,102957,J. McGuire,,,,,,,https://media.api-sports.io/football/players/102957.png
160625,72417,M. Ērglis,,,,,,,
160626,72415,A. Bankavs,,,,,,,
1039,114824,R. Delap,,,,,,,
1040,27543,W. Palacios,,,,,,,
43090,18833,Lucas Pérez,,,,,,,https://media.api-sports.io/football/players/18833.png
165805,541657,H. Masalanga,,,,,,,
178830,163681,D. Koprivcic,,,,,,,
178829,38829,Takuya Iwata,,,,,,,https://media.api-sports.io/football/players/38829.png
35111,118359,S. Davies,,,,,,,https://media.api-sports.io/football/players/118359.png
35041,17558,M. Storey,,,,,,,https://media.api-sports.io/football/players/17558.png
47790,467456,G. Goodman,,,,,,,https://media.api-sports.io/football/players/467456.png
36595,20483,G. Sykes-Kenworthy,,,,,,,https://media.api-sports.io/football/players/20483.png
1049,114759,S. Reid,,,,,,,
1057,18462,M. Fortuné,,,,,,,
35028,82894,J. Walker,,,,,,,
35092,114901,C. Lynch,,,,,,,
35094,231313,K. Hawley,,,,,,,
