id,fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_xg,away_xg,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,stats_fetched_at,home_xg_ht,away_xg_ht
194191,290706,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,1,2,,,
194184,290699,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
194185,290700,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,0,0,,,
194186,290701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
72009,109982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2026-03-10 12:18:33.839162+00,,
160307,248520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160308,248521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
66428,146267,16,9,9,2,10,7,6,2,3,2,1,1,2,1.52,4,1,2,4,0,0,50,50,11,20,5,1,67,71,1,1,,,
160309,248522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,3,0,,,
311724,325335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,
48565,114353,17,25,6,11,8,11,9,14,4,4,0,0,1.24,1.76,7,8,3,1,0,0,55,45,9,8,2,2,81,86,1,3,,,
160305,248518,4,24,2,15,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,,,,,,,,,0,1,,,
160294,248507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160311,248524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160312,248525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160313,248526,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160310,248523,5,8,1,3,0,0,0,0,0,0,0,0,0,0,1,11,3,2,0,0,,,,,,,,,0,0,,,
160318,248531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160319,248532,6,11,5,8,0,0,0,0,0,0,0,0,0,0,2,5,2,2,0,0,,,,,,,,,0,0,,,
160321,248534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160322,248535,12,6,2,5,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,0,,,,,,,,,0,2,,,
160315,248528,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,0,0,,,
160316,248529,6,10,6,2,0,0,0,0,0,0,1,0,0.76,0,6,2,3,4,0,1,,,,,,,,,2,0,,,
160323,248536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
160324,248537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160325,248538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160326,248539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160328,248541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160329,248542,12,10,4,4,0,0,0,0,0,0,0,0,0,0,7,10,3,2,0,0,,,,,,,,,0,0,,,
160314,248527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160331,248544,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,2,1,,,
160332,248545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160333,248546,5,14,3,6,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0,,,,,,,,,0,0,,,
160335,248548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160336,248549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
160338,248551,9,9,3,3,0,0,0,0,0,0,0,0,0,0,4,4,1,5,0,0,,,,,,,,,1,2,,,
160339,248552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,3,0,,,
160340,248553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,2,,,
160341,248554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,3,0,,,
160342,248555,0,0,0,0,0,0,0,0,0,0,2,0,1.52,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
160344,248557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160345,248558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160346,248559,11,10,6,4,0,0,0,0,0,0,1,0,0.76,0,4,5,2,1,0,0,,,,,,,,,2,0,,,
160334,248547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
221021,378972,14,10,3,5,10,6,4,4,1,1,0,0,1.29,0.83,7,2,0,1,0,0,49,51,7,8,3,3,82,80,1,2,,,
194216,290731,6,8,1,3,0,0,0,0,0,0,0,0,0,0,5,5,4,2,0,0,,,,,,,,,0,0,,,
194214,290729,14,9,10,4,0,0,0,0,0,0,0,0,0,0,3,10,2,0,0,0,,,,,,,,,2,0,,,
194215,290730,6,7,4,3,0,0,0,0,0,0,0,0,0,0,9,0,1,4,0,0,,,,,,,,,0,1,,,
194211,290726,9,10,5,7,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,1,,,,,,,,,2,2,,,
194212,290727,12,6,5,5,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0,0,,,,,,,,,1,2,,,
194210,290725,7,9,5,3,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,,,,,,,,,1,0,,,
194209,290724,7,7,3,5,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,,,,,,,,,1,0,,,
194208,290723,9,4,4,2,0,0,0,0,0,0,0,0,0,0,5,1,3,3,0,0,,,,,,,,,0,0,,,
194206,290721,3,16,3,5,0,0,0,0,0,0,0,0,0,0,4,5,2,2,0,0,,,,,,,,,2,1,,,
194207,290722,13,11,6,8,0,0,0,0,0,0,1,1,0.76,0.76,4,1,1,4,0,0,,,,,,,,,0,2,,,
194204,290719,8,16,3,8,0,0,0,0,0,0,0,0,0,0,1,11,2,1,0,0,,,,,,,,,3,2,,,
194205,290720,8,8,2,3,0,0,0,0,0,0,0,0,0,0,4,5,1,1,0,0,,,,,,,,,0,0,,,
194203,290718,16,5,6,3,0,0,0,0,0,0,0,0,0,0,9,2,2,5,0,1,,,,,,,,,0,1,,,
194202,290717,8,1,2,1,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,,,,,,,,,0,0,,,
160348,248561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160349,248562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160347,248560,11,6,8,3,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,,,,,,,,,0,1,,,
160350,248563,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
80076,132885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,1,,,
108276,185609,19,10,10,3,15,8,4,2,2,3,0,0,1.87,0.99,6,7,1,2,0,0,61,39,7,10,2,2,82,70,1,0,,,
108277,185610,3,16,3,3,3,9,0,7,0,7,0,0,0.35,1.28,3,6,1,1,1,0,40,60,13,11,2,1,73,83,0,0,,,
151121,235547,12,11,5,5,5,10,7,1,4,1,0,0,0.82,1.19,3,4,2,2,1,0,48,52,16,6,3,2,82,81,0,0,,,
5045,5045,7,13,4,4,4,10,3,3,2,4,0,0,0.57,1.26,3,5,2,1,0,0,43,57,14,6,2,4,69,79,2,0,,,
160352,248565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
221024,371170,28,6,9,3,11,6,17,0,9,1,0,0,1.86,0.69,8,0,3,2,0,0,58,42,19,13,1,0,86,78,1,1,,,
219646,371307,16,9,7,4,12,6,4,3,4,1,0,0,1.52,0.8,4,6,2,3,0,0,50,50,11,12,3,1,83,82,0,0,,,
80072,106349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,
73967,128723,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,2026-03-10 12:18:34.023497+00,,
80077,143717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,1,2026-03-10 11:38:25.063363+00,,
160353,248566,5,14,2,6,0,0,0,0,0,0,0,0,0,0,1,5,1,2,0,0,,,,,,,,,0,2,,,
160354,248567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160355,248568,5,12,0,2,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,,,,,,,,,0,0,,,
160356,248569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160357,248570,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160359,248572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
36581,96684,8,14,2,5,4,8,4,6,2,2,0,0,0.6,1.13,2,4,1,2,0,0,37,63,8,11,1,1,67,80,1,1,2026-03-10 12:03:58.284462+00,,
80075,114380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,
160358,248571,9,8,4,4,0,0,0,0,0,0,0,0,0,0,7,4,3,3,0,0,,,,,,,,,0,0,,,
80079,113309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,2,2026-03-10 11:38:32.852271+00,,
160360,248573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160362,248575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160363,248576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
80073,124942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2026-03-10 11:54:10.965993+00,,
160364,248577,7,22,3,10,0,0,0,0,0,0,1,1,0.76,0.76,3,7,1,1,0,0,,,,,,,,,1,0,,,
160365,248578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160367,248580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160368,248581,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160369,248582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160370,248583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160372,248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160373,248586,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160375,248588,2,14,2,9,0,0,0,0,0,0,1,0,0.76,0,2,5,2,1,0,0,,,,,,,,,0,1,,,
160376,248589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,3,0,,,
160377,248590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160378,248591,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,0,3,,,
194224,290739,7,11,3,8,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,,,,,,,,,0,0,,,
194231,290746,5,6,4,4,0,0,0,0,0,0,0,0,0,0,10,2,1,1,0,0,,,,,,,,,0,0,,,
194227,290742,2,4,1,1,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,,,,,,,,,0,0,,,
194228,290743,2,4,1,1,0,0,0,0,0,0,0,0,0,0,3,5,4,2,1,0,,,,,,,,,0,0,,,
194226,290741,9,5,4,3,0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,1,,,,,,,,,1,1,,,
194223,290738,13,12,8,9,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,,,,,,,,,0,1,,,
194225,290740,13,9,5,2,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,,,,,,,,,0,1,,,
194221,290736,20,4,8,1,0,0,0,0,0,0,0,0,0,0,17,4,1,0,0,0,,,,,,,,,0,0,,,
194222,290737,5,8,2,3,0,0,0,0,0,0,0,0,0,0,3,9,1,1,0,0,,,,,,,,,0,0,,,
194220,290735,9,6,6,4,0,0,0,0,0,0,0,1,0,0.76,5,2,2,1,0,0,,,,,,,,,0,1,,,
