id,fixture_id,home_win,draw,away_win,bookmaker,source
16342,16371,1.36,4.75,8.0,Bet365,CSV
16343,16372,2.55,3.2,2.9,Bet365,CSV
16344,16373,1.85,3.4,4.33,Bet365,CSV
16345,16374,2.1,3.1,3.8,Bet365,CSV
16346,16375,1.75,3.6,4.75,Bet365,CSV
16347,16376,3.2,3.3,2.3,Bet365,CSV
16348,16377,1.75,3.6,4.75,Bet365,CSV
16349,16378,2.4,3.1,3.2,Bet365,CSV
16350,16379,3.2,3.4,2.2,Bet365,CSV
16351,16380,1.55,4.0,6.0,Bet365,CSV
16352,16381,2.2,3.5,3.2,Bet365,CSV
16353,16382,2.2,3.25,3.4,Bet365,CSV
16354,16383,3.6,3.3,2.1,Bet365,CSV
16355,16384,2.63,3.1,2.75,Bet365,CSV
16356,16385,4.5,3.6,1.8,Bet365,CSV
16357,16386,3.0,2.6,2.9,Bet365,CSV
16358,16387,1.45,4.33,7.0,Bet365,CSV
16359,16388,2.55,3.0,3.0,Bet365,CSV
16360,16389,2.6,3.0,2.88,Bet365,CSV
16361,16390,3.1,3.2,2.4,Bet365,CSV
16362,16391,2.3,3.25,3.2,Bet365,CSV
16363,16392,2.63,3.4,2.55,Bet365,CSV
16364,16393,1.95,3.1,4.5,Bet365,CSV
16365,16394,1.85,3.4,4.33,Bet365,CSV
16366,16395,2.63,3.4,2.63,Bet365,CSV
16367,16396,1.44,4.5,7.0,Bet365,CSV
16368,16397,1.8,3.5,4.75,Bet365,CSV
16369,16398,1.57,4.33,5.5,Bet365,CSV
16370,16399,3.4,3.6,2.0,Bet365,CSV
16371,16400,1.3,6.0,9.0,Bet365,CSV
16372,16401,1.8,3.6,4.2,Bet365,CSV
16373,16402,4.2,4.0,1.73,Bet365,CSV
16374,16403,3.5,3.4,2.05,Bet365,CSV
16375,16404,3.9,3.4,1.95,Bet365,CSV
16376,16405,2.1,3.6,3.2,Bet365,CSV
16377,16406,3.2,3.25,2.25,Bet365,CSV
16378,16407,1.8,3.25,4.0,Bet365,CSV
16379,16408,2.3,3.2,2.75,Bet365,CSV
16380,16409,3.2,3.3,1.95,Bet365,CSV
16381,16410,2.1,3.1,3.1,Bet365,CSV
16382,16411,2.0,3.2,3.5,Bet365,CSV
16383,16412,1.5,3.6,7.0,Bet365,CSV
16384,16413,1.5,3.5,6.0,Bet365,CSV
16385,16414,2.62,3.2,2.4,Bet365,CSV
16386,16415,1.72,3.25,4.2,Bet365,CSV
16387,16416,3.2,3.2,2.15,Bet365,CSV
16388,16417,2.37,3.25,3.0,Bet365,CSV
16389,16418,2.0,3.4,3.6,Bet365,CSV
16390,16419,1.8,3.6,4.5,Bet365,CSV
16391,16420,2.8,3.2,2.6,Bet365,CSV
