fixture_id,league_id,date_utc,calendar_year,side,is_home,shots_total,shots_on_goal,shots_inside_box,shots_outside_box,blocked_shots,corners,possession,pass_accuracy,xg
263479,21,2020-08-01 09:00:00,2020,away,false,16,4,14,2,4,14,,,1.68
185215,1,2023-05-22 19:00:00,2023,away,false,1,1,1,0,0,1,22,59,0.12
182845,1,2017-03-04 15:00:00,2017,home,true,17,5,9,9,3,10,,,1.35
374463,28,2026-02-25 01:00:00,2026,away,false,9,3,6,3,4,4,53,73,0.8
102851,58,2024-03-12 22:00:00,2024,home,true,13,5,8,5,1,3,47,79,1.09
322639,57,2019-07-20 19:30:00,2019,home,true,8,2,4,4,3,6,,,0.6
373630,21,2026-03-07 05:00:00,2026,home,true,17,7,10,7,5,4,48,80,1.4
323022,57,2025-06-08 19:00:00,2025,home,true,13,5,8,5,3,2,41,75,1.09
273311,25,2024-09-21 15:00:00,2024,away,false,11,3,4,7,4,3,45,79,0.71
256637,19,2023-05-27 19:00:00,2023,away,false,11,1,4,7,8,5,50,80,0.71
599635,91,2026-04-16 16:45:00,2026,away,false,14,6,8,6,3,3,46,78,1.51
185438,1,2025-01-18 17:30:00,2025,away,false,8,4,5,3,1,1,34,74,0.68
104167,64,2024-01-29 20:00:00,2024,home,true,17,5,8,9,2,4,45,79,1.24
257379,19,2025-11-02 00:00:00,2025,home,true,25,10,13,12,4,9,67,86,1.92
234782,13,2022-05-06 18:00:00,2022,away,false,20,4,12,8,7,5,48,77,1.66
296921,37,2026-01-22 15:15:00,2026,away,false,11,6,7,4,2,1,44,79,0.95
210918,7,2024-12-29 14:00:00,2024,home,true,25,8,18,7,6,14,67,88,2.32
218443,9,2022-04-17 18:45:00,2022,away,false,3,1,2,1,1,4,58,91,0.27
201569,5,2022-09-17 19:00:00,2022,away,false,11,2,6,5,2,7,61,84,0.87
153104,81,2024-07-15 00:30:00,2024,away,false,19,4,10,9,7,7,55,86,1.47
374257,26,2026-02-28 17:00:00,2026,away,false,8,4,6,2,1,3,36,60,0.76
265301,21,2025-10-25 05:00:00,2025,away,false,19,6,11,8,5,8,68,85,1.55
373156,20,2026-04-04 23:30:00,2026,home,true,15,7,12,3,4,2,58,87,1.14
331935,64,2018-11-08 20:30:00,2018,away,false,12,2,2,10,9,5,,,0.58
210390,7,2022-08-28 18:45:00,2022,away,false,13,2,10,3,6,3,51,86,1.26
193829,3,2025-04-21 14:00:00,2025,home,true,15,3,8,7,4,4,65,78,1.17
292669,34,2024-04-12 19:00:00,2024,home,true,21,11,14,7,6,7,67,89,1.86
80405,30,2023-08-13 12:00:00,2023,away,false,12,8,9,3,3,5,66,92,1.14
199055,5,2016-01-17 17:15:00,2016,home,true,18,4,12,6,4,3,,,1.59
188485,2,2020-06-20 14:00:00,2020,home,true,12,3,7,5,3,9,,,0.98
210717,7,2023-05-20 13:00:00,2023,away,false,19,9,11,8,2,9,63,89,1.55
67877,27,2023-08-18 18:30:00,2023,home,true,6,3,4,2,2,4,39,73,0.53
259306,20,2017-05-10 23:30:00,2017,away,false,9,3,7,2,2,1,,,0.88
266226,22,2019-02-16 23:00:00,2019,away,false,8,4,7,1,2,3,,,0.84
223420,10,2023-04-08 17:00:00,2023,home,true,10,1,8,2,4,5,57,77,0.99
193219,3,2023-04-15 14:00:00,2023,away,false,22,6,16,6,4,6,57,66,2.05
94638,57,2021-11-15 21:00:00,2021,home,true,23,7,14,9,8,6,53,77,1.93
267093,23,2017-04-17 16:00:00,2017,away,false,7,1,3,4,3,3,,,0.49
188875,2,2021-01-26 19:00:00,2021,home,true,4,2,3,1,0,2,43,74,0.38
289316,32,2025-10-25 13:00:00,2025,home,true,11,3,4,7,0,6,57,80,0.71
234382,13,2021-02-21 11:15:00,2021,away,false,10,2,5,5,1,3,64,86,1.4
161440,96,2024-08-13 18:30:00,2024,home,true,12,3,7,5,0,7,37,70,0.98
47517,21,2023-08-26 10:00:00,2023,home,true,11,2,7,4,4,4,41,81,0.95
200704,5,2020-06-30 17:30:00,2020,home,true,9,7,5,4,1,2,,,1.36
205236,6,2022-04-09 14:00:00,2022,away,false,10,4,9,1,0,3,32,70,1.07
182988,1,2017-08-26 11:30:00,2017,away,false,19,8,13,6,4,5,,,1.71
604567,107,2023-10-07 16:00:00,2023,home,true,7,5,7,0,1,4,59,81,1.45
263775,21,2021-03-21 06:00:00,2021,away,false,13,8,8,5,3,5,47,85,1.09
210145,7,2021-12-12 19:45:00,2021,away,false,5,2,3,2,1,0,25,75,0.42
155847,84,2021-10-09 18:45:00,2021,home,true,6,3,4,2,2,5,33,61,0.53
349231,77,2019-02-14 14:00:00,2019,home,true,22,12,11,11,3,8,,,2.29
285455,31,2019-07-17 11:35:00,2019,home,true,19,5,13,6,5,5,,,1.71
101530,53,2024-03-02 23:30:00,2024,home,true,13,5,9,4,5,11,52,78,1.18
201306,5,2021-12-12 20:00:00,2021,away,false,9,6,5,4,0,6,39,86,0.72
235553,13,2025-10-04 18:00:00,2025,home,true,4,0,1,3,1,4,28,77,0.22
276814,27,2024-09-21 12:45:00,2024,away,false,13,7,9,4,3,3,48,79,1.18
209663,7,2020-11-07 17:00:00,2020,away,false,12,6,9,3,2,4,,,1.14
147525,35,2024-02-04 19:00:00,2024,away,false,13,4,10,3,3,7,46,77,1.26
372030,11,2026-03-15 16:30:00,2026,away,false,9,4,7,2,1,2,27,66,0.88
249776,17,2023-05-27 11:30:00,2023,home,true,4,1,2,2,1,4,32,38,0.3
308719,46,2025-03-15 19:00:00,2025,away,false,18,6,6,12,9,15,70,88,1.11
237508,14,2019-01-02 20:15:00,2019,home,true,9,5,8,1,2,3,,,0.96
230893,12,2022-03-12 19:30:00,2022,home,true,11,4,7,4,1,6,38,59,0.95
302805,41,2026-01-28 16:00:00,2026,away,false,12,4,9,3,5,3,36,73,1.14
210770,7,2024-08-31 18:45:00,2024,home,true,29,7,18,11,12,6,54,86,2.46
197404,4,2025-08-16 14:00:00,2025,home,true,16,5,12,4,4,9,62,70,1.52
101628,53,2024-06-02 19:00:00,2024,away,false,16,6,10,6,4,5,50,73,1.36
207751,7,2015-09-24 18:45:00,2015,away,false,13,3,5,8,4,5,,,0.86
242714,15,2024-08-25 16:30:00,2024,home,true,12,3,9,3,5,2,43,78,1.79
92948,37,2023-11-11 15:00:00,2023,away,false,18,5,12,6,5,5,64,83,1.59
267365,23,2018-05-16 16:00:00,2018,away,false,9,3,5,4,3,6,,,0.72
276967,27,2025-03-15 19:15:00,2025,home,true,11,5,7,4,3,3,45,82,0.95
23134,12,2024-01-19 17:30:00,2024,home,true,25,9,13,12,5,6,64,81,1.92
269447,24,2017-11-24 14:30:00,2017,away,false,9,3,5,4,2,7,,,1.36
373272,20,2026-05-17 00:30:00,2026,home,true,8,3,3,5,1,3,46,84,0.37
226599,11,2021-01-10 17:00:00,2021,away,false,11,4,7,4,4,3,51,76,0.95
295978,37,2016-11-18 15:45:00,2016,home,true,9,1,5,4,3,2,,,0.72
271131,24,2025-10-18 14:30:00,2025,home,true,7,1,5,2,4,4,45,66,0.65
161729,96,2022-08-09 18:45:00,2022,home,true,10,3,8,2,1,3,51,77,0.99
272037,25,2017-04-01 14:00:00,2017,home,true,5,1,2,3,0,4,,,0.34
276571,27,2023-03-04 16:30:00,2023,home,true,19,6,12,7,7,8,38,77,1.63
207909,7,2016-01-24 14:00:00,2016,away,false,23,9,17,6,4,3,,,2.81
306734,45,2025-06-17 00:00:00,2025,home,true,7,1,5,2,3,5,70,82,0.65
211060,7,2025-04-14 18:45:00,2025,home,true,17,6,11,6,4,5,63,89,1.48
268968,23,2025-07-27 12:30:00,2025,home,true,11,5,8,3,3,4,48,87,1.67
237169,14,2017-10-27 20:00:00,2017,home,true,24,5,7,17,2,8,,,1.4
230324,12,2020-06-14 11:30:00,2020,away,false,16,7,14,2,5,4,,,1.68
278430,28,2018-03-31 23:00:00,2018,away,false,13,6,6,7,1,4,,,0.94
139156,20,2024-09-28 23:30:00,2024,away,false,9,4,6,3,4,3,44,81,0.8
201563,5,2022-09-10 12:00:00,2022,away,false,17,4,13,4,7,7,54,77,1.64
292976,34,2025-10-25 18:45:00,2025,away,false,13,4,10,3,7,5,39,69,1.26
117216,37,2025-03-14 19:00:00,2025,away,false,7,4,5,2,1,2,30,72,0.65
279441,28,2025-08-17 17:00:00,2025,away,false,10,5,5,5,2,3,58,82,0.75
196949,4,2024-10-19 14:00:00,2024,home,true,23,9,12,11,5,2,70,83,1.77
268375,23,2022-07-24 16:00:00,2022,home,true,18,10,15,3,5,6,41,80,1.83
218329,9,2022-01-26 18:00:00,2022,home,true,7,4,5,2,1,3,53,78,0.65
194134,3,2026-01-01 15:00:00,2026,away,false,6,2,3,3,2,3,48,77,0.45
202183,5,2025-03-09 20:00:00,2025,home,true,7,2,4,3,0,6,61,84,0.57
195511,4,2021-03-02 18:30:00,2021,away,false,15,6,13,2,4,3,51,64,1.57
274229,26,2020-02-16 15:00:00,2020,home,true,20,12,15,5,2,5,,,1.9
255955,19,2021-08-15 21:15:00,2021,home,true,12,2,5,7,5,3,39,84,0.82
138520,22,2020-11-03 03:00:00,2020,home,true,15,6,8,7,4,1,,,1.17
5091,3,2024-03-09 15:00:00,2024,home,true,12,2,7,5,5,3,25,62,0.98
140739,20,2020-11-01 00:30:00,2020,home,true,10,1,6,4,3,3,,,0.83
307321,46,2016-10-29 00:45:00,2016,home,true,7,3,7,0,1,0,,,0.81
274226,26,2020-02-15 18:00:00,2020,home,true,28,7,18,10,9,14,,,2.42
205085,6,2021-12-19 13:00:00,2021,home,true,13,0,8,5,3,7,46,72,1.09
193529,3,2024-12-14 15:00:00,2024,home,true,7,3,7,0,2,4,44,65,1.45
229548,12,2017-11-03 17:30:00,2017,away,false,3,1,1,2,1,1,,,0.18
262770,21,2017-10-21 07:00:00,2017,away,false,15,6,10,5,2,4,,,1.33
242729,15,2024-09-14 18:45:00,2024,away,false,17,8,12,5,2,4,34,67,1.56
349178,77,2018-10-30 14:00:00,2018,home,true,5,1,3,2,1,4,,,0.42
187543,2,2018-09-01 14:00:00,2018,away,false,11,5,6,5,2,10,,,1.51
