fixture_player_id,fixture_id,player_id,cards_red,cards_yellow,dribbles_attempts,dribbles_past,dribbles_success,duels_total,duels_won,fouls_committed,fouls_drawn,games_captain,games_minutes,games_number,games_position,games_rating,games_substitute,goals_assists,goals_conceded,goals_saves,goals_total,offsides,passes_accuracy,passes_key,passes_total,penalty_commited,penalty_missed,penalty_saved,penalty_scored,penalty_won,shots_on,shots_total,tackles_blocks,tackles_interceptions,tackles_total
8895225,349451,93226,0,0,,,,,,,,false,,12.0,G,,true,,0.0,,,,,,,,0,,0,,,,,,
2445523,229309,44838,0,0,0.0,,0.0,5.0,5.0,0.0,0.0,false,90.0,28.0,D,7.9,false,,,,1.0,,69%,0.0,16.0,,0,,0,,1.0,1.0,,0.0,
2987510,242515,1767,0,0,1.0,1.0,,6.0,2.0,1.0,,false,90.0,2.0,D,7.5,false,,0.0,,,,26,1.0,35.0,,0,,0,,,,1.0,,1.0
2588027,232744,66434,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,false,90.0,1.0,G,6.7,false,,3.0,6.0,,,67%,0.0,19.0,,0,0.0,0,,0.0,0.0,,0.0,
699847,188624,36202,0,0,,,,,,,,false,,22.0,M,,true,,0.0,,,,,,,,0,,0,,,,,,
3603587,256789,70185,0,0,,,,,,,,false,11.0,32.0,D,6.7,true,0.0,0.0,,,2.0,1,,2.0,,0,,0,,,,,,
2656846,234463,66580,0,0,,,,4.0,1.0,1.0,1.0,false,19.0,9.0,F,6.7,true,,0.0,,,,4,,5.0,,0,,0,,,,,,
9392245,149987,45948,0,0,,,,,,,,false,,15.0,M,,true,,0.0,,,,,,,,0,,0,,,,,,
1670367,210972,52437,0,0,,1.0,,7.0,1.0,1.0,1.0,false,36.0,70.0,M,6.7,true,1.0,0.0,,,,8,2.0,11.0,,0,,0,,,,,,
1432496,11897,48904,0,0,,,,,,,,false,,23.0,D,,true,,0.0,,,,,,,,0,,0,,,,,,
3827171,139063,81254,0,0,,,,4.0,2.0,1.0,,false,13.0,15.0,M,6.7,true,0.0,0.0,,,,1,,1.0,,0,,0,,,,,,2.0
9410699,149613,49898,0,0,1.0,,1.0,6.0,4.0,2.0,2.0,false,45.0,22.0,M,7,true,0.0,0.0,,,,13,1.0,15.0,,0,,0,,,,1.0,,1.0
6361172,97125,119700,0,0,,,,8.0,7.0,1.0,3.0,false,97.0,28.0,M,7.2,false,,0.0,,,,36,,39.0,,0,,0,,,,,3.0,3.0
1188257,200301,48461,0,0,7.0,1.0,7.0,12.0,9.0,0.0,2.0,false,67.0,6.0,M,8.0,false,,,,,,92%,3.0,35.0,,0,,0,,0.0,2.0,0.0,0.0,
3513106,255034,78339,0,0,1.0,1.0,1.0,8.0,4.0,1.0,0.0,false,89.0,5.0,M,7.1,false,,,,,,82%,1.0,50.0,,0,,0,,0.0,0.0,0.0,0.0,2.0
516699,184161,43566,0,0,3.0,,1.0,7.0,4.0,,2.0,false,80.0,19.0,F,6.9,false,,0.0,,,,35,,44.0,,0,,0,,,,,1.0,
3677881,258659,80466,0,0,0.0,3.0,0.0,11.0,2.0,1.0,2.0,false,90.0,8.0,M,6.5,false,,,,,,76%,3.0,29.0,,0,,0,,0.0,3.0,,3.0,
6208859,99334,118940,0,0,2.0,2.0,2.0,9.0,4.0,2.0,2.0,false,69.0,6.0,M,6.3,false,,0.0,,,,15,,19.0,,0,,0,,,,,,
630853,186728,18957,0,0,3.0,1.0,3.0,16.0,8.0,2.0,2.0,false,81.0,44.0,M,6.9,false,,,,,,65%,1.0,21.0,,0,,0,,0.0,0.0,,2.0,
6944061,111603,87922,0,0,,,,,,,,false,,57.0,F,,true,,0.0,,,,,,,,0,,0,,,,,,
4335176,271138,69712,0,0,3.0,,1.0,24.0,6.0,2.0,4.0,false,90.0,11.0,F,7.3,false,0.0,0.0,,1.0,1.0,6,2.0,12.0,,0,,0,,1.0,1.0,,,
725647,189293,43153,0,0,3.0,,3.0,4.0,3.0,,,false,28.0,15.0,D,6.9,true,,0.0,,,,12,1.0,18.0,,0,,0,,,,,,
7274403,93488,78853,0,1,1.0,3.0,1.0,10.0,6.0,1.0,3.0,false,90.0,10.0,M,7.5,false,0.0,0.0,,1.0,,29,2.0,41.0,,0,,1,,1.0,2.0,,1.0,2.0
4215047,55687,86720,0,0,,,,,,,,false,,22.0,D,,true,,0.0,,,,,,,,0,,0,,,,,,
6859639,102786,130908,0,0,1.0,1.0,1.0,12.0,6.0,,3.0,false,92.0,28.0,D,7.3,false,,0.0,,,,53,1.0,61.0,,0,,0,,,,,1.0,
7362664,102880,138268,0,0,,,,,,,,false,,7.0,M,,true,,0.0,,,,,,,,0,,0,,,,,,
5666937,126645,108238,0,0,,,,1.0,,,,false,10.0,14.0,F,6.7,true,,0.0,,,,2,1.0,5.0,,0,,0,,,,,,
2313846,226131,62397,0,0,1.0,,1.0,1.0,1.0,0.0,0.0,false,45.0,16.0,M,7.2,true,,,,,,92%,2.0,12.0,,0,,0,,0.0,3.0,0.0,1.0,
4667976,96396,48487,0,0,,,,5.0,2.0,1.0,,false,41.0,26.0,D,6.9,true,,0.0,,,,41,,48.0,,0,,0,,,,,,1.0
7923808,104551,146988,0,0,,,,,,,,false,,50.0,G,,true,,0.0,,,,,,,,0,,0,,,,,,
4117626,52202,85433,0,0,,1.0,,10.0,6.0,2.0,3.0,false,31.0,20.0,D,6.9,true,,0.0,,,,9,,11.0,,0,,0,,,,,,2.0
3798804,139408,82028,0,0,2.0,,,10.0,2.0,1.0,1.0,false,90.0,27.0,F,6.3,false,,0.0,,,,27,2.0,36.0,,0,,0,,1.0,1.0,,,1.0
1316110,202983,48034,0,1,4.0,5.0,1.0,15.0,4.0,1.0,2.0,false,86.0,12.0,M,6.2,false,1.0,,,,,71%,2.0,23.0,,0,,0,,0.0,1.0,,0.0,
2770540,236993,49446,0,0,0.0,,0.0,15.0,7.0,2.0,3.0,false,89.0,10.0,F,7.3,false,,,,,,64%,3.0,16.0,,0,,0,,1.0,5.0,,0.0,
