id,name,country,fd_code,api_football_id,in_csv,in_pq
129,First Division,Ireland,IRL2,358,true,false
100000839,Super Cup,Lithuania,,839,false,false
100000390,Premier League,Lebanon,,390,false,false
113,I Liga,Poland,POL2,107,true,false
100000810,Super Copa,Argentina,,810,false,false
46,Primera A,Colombia,COL,239,true,true
100000907,Primera Division,Cuba,,907,false,false
36,1. Liga,Czech Republic,CZE,345,true,true
100000838,Super Cup,Jordan,,838,false,false
100000302,League Cup,United-Arab-Emirates,,302,false,false
21,J1 League,Japan,JPN,98,true,true
88,International Friendlies,World,INT-FR,10,true,true
100000495,Hazfi Cup,Iran,,495,false,false
100000955,National League - National,New-Zealand,,955,false,false
100000104,1. Division,Norway,,104,false,false
118,J2 League,Japan,JPN2,99,true,false
59,Premier League,Azerbaijan,AZE,419,true,true
100000394,Super Liga,Moldova,,394,false,false
100000130,Copa Argentina,Argentina,,130,false,false
100000529,Super Cup,Germany,,529,false,false
100001058,Supercopa Femenina,Spain,,1058,false,false
72,Primera Division,Venezuela,VEN,299,true,true
35,Super League 1,Greece,GRE,197,true,true
100000548,Super Cup,Japan,,548,false,false
140,Premier League,Jamaica,JAM,322,true,false
101,Taca de Portugal,Portugal,CUP-POR,96,true,true
112,Challenge League,Switzerland,CHE2,208,true,false
100000826,Super Cup,Saudi-Arabia,,826,false,false
100000380,Premier League,Hong-Kong,,380,false,false
100000966,Cup,Ghana,,966,false,false
79,UEFA Euro,World,INT-EURO,4,true,true
100000398,Premier League,Bangladesh,,398,false,false
8,Serie B,Italy,I2,136,true,true
5,La Liga,Spain,SP1,140,true,true
100000604,Catarinense - 1,Brazil,,604,false,false
100000338,Primera Division,Guatemala,,338,false,false
125,Primera Nacional,Argentina,ARG2,129,true,false
96,Carabao Cup,England,CUP-ENG-LC,48,true,true
25,Bundesliga,Austria,AUT,218,true,true
73,Eerste Divisie,Netherlands,NLD2,89,true,true
86,World Cup - Qualification CONCACAF,World,INT-WCQ-NA,31,true,true
100000547,Super Cup,Italy,,547,false,false
102,KNVB Beker,Netherlands,CUP-NED,90,true,true
100000275,Liga 2,Indonesia,,275,false,false
100000166,2. Deild,Iceland,,166,false,false
57,Serie B,Brazil,BRA2,72,true,true
134,A Lyga,Lithuania,LTU,362,true,false
19,Serie A,Brazil,BRA,71,true,true
28,Liga Profesional,Argentina,ARG,128,true,true
100000489,USL League One,USA,,489,false,false
116,Prva Liga,Serbia,SRB2,287,true,false
107,1. Lig,Turkey,TUR2,204,true,false
127,Primera B,Colombia,COL2,240,true,false
90,UEFA Europa League,World,CUP-UEL,3,true,true
48,Ligue 1,Algeria,DZA,186,true,true
135,Primera Division,El Salvador,SLV,370,true,false
133,Liga 1,Indonesia,IDN,274,true,false
100000300,Segunda División,Venezuela,,300,false,false
100000331,Division 1,Kuwait,,331,false,false
100000267,Copa Chile,Chile,,267,false,false
100000507,Cup,South-Africa,,507,false,false
106,3. Liga,Germany,DEU3,80,true,false
100000528,Community Shield,England,,528,false,false
100000544,FA Cup,Hong-Kong,,544,false,false
13,Eredivisie,Netherlands,N1,88,true,true
100000711,Segunda División,Chile,,711,false,false
12,2. Bundesliga,Germany,D2,79,true,true
100000400,Super League,Zambia,,400,false,false
100000639,Super Cup,Iceland,,639,false,false
15,Jupiler Pro League,Belgium,B1,144,true,true
100000256,USL League Two,USA,,256,false,false
100000297,Thai League 2,Thailand,,297,false,false
100000668,1. Liga U19,Czech-Republic,,668,false,false
100000131,Primera B Metropolitana,Argentina,,131,false,false
100000588,National League,Myanmar,,588,false,false
100000282,Segunda División,Peru,,282,false,false
33,Veikkausliiga,Finland,FIN,244,true,true
