id,api_football_id,date_utc,league_id,home_team_id,away_team_id,goals_home,goals_away,status,referee_name,referee_api_id,created_at,updated_at,in_csv,in_pq,merged_rows,merged_football_data,status_norm,is_played,calendar_year,btts
125117,681131,2021-03-19 15:00:00,74,1487,1492,0,2,FT,A. Anufrijevs,,2026-02-27 00:01:51.060209,2026-03-10 12:17:35.249309,true,true,0,false,FT,true,2021,false
325558,98368,2017-02-22 17:30:00,60,1674,1687,4,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2017,true
100686284,686284,2021-06-26 12:00:00,100000585,100012453,100012456,,,CANC,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,CANC,false,2021,
101576690,1576690,2027-04-04 15:00:00,65,4690,1378,,,NS,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,NS,false,2027,
525484,,2019-04-07 00:00:00,38,573,559,2,0,FT,,,2026-03-11 00:00:42.195406,2026-03-11 00:00:42.195406,true,false,1,true,FT,true,2019,false
101117073,1117073,2023-08-13 19:00:00,100000300,4724,100016696,1,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2023,false
349555,152583,2016-07-10 19:00:00,79,1922,1928,1,0,AET,,,,,false,true,0,false,AET,true,2016,false
100535246,535246,2013-04-06 21:00:00,100000243,100002238,100013813,1,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2013,true
100982981,982981,2023-08-13 14:00:00,100000563,100011661,100006697,0,3,FT,J. Krsmanovic,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2023,false
352376,1491698,2025-11-26 12:00:00,88,4928,4883,4,0,FT,,,2026-02-27 00:01:51.060209,2026-07-04 23:56:56.280444,true,true,0,false,FT,true,2025,false
109168,1211447,2025-03-02 15:30:00,47,1201,1200,2,2,FT,M. Rúsz,,2026-02-27 00:01:51.060209,2026-03-07 21:40:21.841418,true,true,0,false,FT,true,2025,true
571966,,2025-12-05 00:00:00,58,2605,686,5,2,FT,,,2026-03-11 00:04:58.812185,2026-03-11 00:04:58.812185,true,false,0,false,FT,true,2025,true
163682,969967,2022-11-19 17:00:00,100,3560,241,0,4,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2022,false
100938952,938952,2022-09-24 21:00:00,100000722,100017785,100015927,1,3,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2022,true
84002,,2013-07-26 00:00:00,32,4489,855,1,2,FT,,,,,false,true,1,true,FT,true,2013,true
352008,1486534,2025-09-06 18:00:00,88,4851,4852,2,2,FT,,,2026-02-27 00:01:51.060209,2026-07-04 23:56:56.280444,true,true,0,false,FT,true,2025,true
101551807,1551807,2026-08-31 18:00:00,73,1478,1470,,,NS,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,NS,false,2026,
598412,,2023-02-28 00:00:00,105,5971,5965,1,1,FT,C Whyte,,2026-03-23 22:10:23.369654,2026-03-23 22:10:23.369654,true,false,0,false,FT,true,2023,true
100099671,99671,2019-03-09 11:15:00,100000291,1565,100002724,2,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2019,true
100849719,849719,2022-09-15 20:00:00,100000243,100002238,1020,1,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2022,false
218593,871554,2022-10-02 11:00:00,9,212,208,2,1,FT,H. Ben El Hadj,,2026-02-27 00:01:51.060209,2026-03-07 22:34:37.854477,true,true,1,true,FT,true,2022,true
203968,214449,2019-09-15 18:00:00,6,3248,3290,2,0,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,1,true,FT,true,2019,false
154983,1323334,2025-10-13 18:45:00,84,1996,2005,0,1,FT,Danny Makkelie,,2026-02-27 00:01:51.060209,2026-03-07 00:07:31.087005,true,true,0,false,FT,true,2025,false
281280,831408,2022-09-05 17:00:00,29,767,4447,3,2,FT,A. Ladebäck,,2026-02-27 00:01:51.060209,2026-03-07 22:36:20.789128,true,true,1,true,FT,true,2022,true
621388,1324373,2025-04-11 18:45:00,129,908,919,1,0,FT,,,2026-03-23 22:33:48.776409,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2025,false
101155806,1155806,2024-01-21 17:00:00,100000338,100003663,100010141,1,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2024,false
101013015,1013015,2023-03-10 15:30:00,100000386,100004527,100004521,0,2,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2023,false
100389175,389175,2017-08-12 08:00:00,100000191,100011181,100002531,0,2,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2017,false
314118,179525,2018-09-16 16:00:00,50,1217,1212,1,0,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2018,false
290270,140598,2016-06-09 15:30:00,33,4509,4510,1,2,FT,,,,,false,true,0,false,FT,true,2016,true
604554,1075036,2023-09-29 17:00:00,107,4354,5996,0,1,FT,A. Şen,,2026-03-23 22:31:36.528095,2026-03-24 00:32:25.968862,true,false,0,false,FT,true,2023,false
620272,1436625,2025-09-09 02:00:00,128,6279,1765,1,2,FT,,,2026-03-23 22:33:43.504885,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2025,true
53619,,2015-04-19 00:00:00,23,569,553,2,4,FT,,,,,false,true,1,true,FT,true,2015,true
143605,1319426,2025-03-01 02:00:00,52,1762,1770,0,0,FT,R. Prendas,,2026-02-27 00:01:51.060209,2026-03-07 21:40:38.053098,true,true,0,false,FT,true,2025,false
30944,1094592,2024-02-24 15:00:00,17,398,401,3,2,FT,D. Dickinson,,2026-02-27 00:01:51.060209,2026-03-07 22:04:14.231193,true,true,0,false,FT,true,2024,true
183366,102,2018-09-01 16:30:00,1,2,13,2,1,FT,K Friend,,2026-02-27 00:01:51.060209,2026-03-11 02:31:19.417585,true,true,0,false,FT,true,2018,true
100183579,183579,2017-11-19 15:15:00,100000392,100004620,100004615,1,2,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2017,true
545554,,2018-09-22 00:00:00,53,799,805,2,1,FT,,,2026-03-11 00:02:49.526166,2026-03-11 00:02:49.526166,true,false,1,true,FT,true,2018,true
100387097,387097,2014-05-20 13:00:00,100000343,100003688,100003690,1,2,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2014,true
100803636,803636,2021-11-26 12:00:00,100000585,100012466,100012451,2,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2021,true
364436,276017,2019-09-10 18:45:00,95,2662,2136,2,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2019,true
219293,1387754,2025-10-05 15:15:00,9,218,221,2,2,FT,Jeremie Pignard,,2026-02-27 00:01:51.060209,2026-07-04 23:56:56.280444,true,true,0,false,FT,true,2025,true
101563105,1563105,2026-08-22 14:00:00,2,6,52,,,NS,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,NS,false,2026,
197014,1217146,2024-11-23 12:30:00,4,87,94,0,1,FT,M. Woods,,2026-02-27 00:01:51.060209,2026-03-07 21:46:29.491007,true,true,0,false,FT,true,2024,false
101495432,1495432,2026-03-28 12:00:00,100000549,100015629,100016008,1,0,FT,T. Olofsson,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2026,false
101083263,1083263,2024-01-06 10:30:00,100000297,100006585,100002800,3,0,FT,W. Klinthaworn,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2024,false
294358,30990,2017-04-23 16:00:00,35,1834,1825,4,3,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2017,true
101186324,1186324,2024-05-08 15:00:00,100000291,1564,100015542,1,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2024,false
608605,1534217,2026-05-30 14:00:00,114,6075,6081,0,1,FT,,,2026-03-23 22:32:16.28128,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2026,false
101524538,1524538,2026-05-23 00:30:00,100000256,100004049,100027520,3,3,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2026,true
70267,,2016-05-21 00:00:00,28,695,4438,2,0,FT,,,,,false,true,1,true,FT,true,2016,false
174956,459583,2013-08-03 14:00:00,3,88,80,3,1,FT,,,,,false,true,0,false,FT,true,2013,true
305503,534612,2012-04-22 17:30:00,45,1002,1001,0,2,FT,,,,,false,true,0,false,FT,true,2012,false
199547,20512,2017-04-15 14:15:00,5,127,108,2,3,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2017,true
551750,,2019-08-02 00:00:00,56,905,901,1,3,FT,,,2026-03-11 00:03:23.216246,2026-03-11 00:03:23.216246,true,false,1,true,FT,true,2019,true
630946,1373238,2025-05-07 14:00:00,142,6480,6477,1,2,FT,,,2026-03-23 22:35:00.50762,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2025,true
49448,,2015-09-27 00:00:00,22,537,525,1,0,FT,,,,,false,true,1,true,FT,true,2015,false
105625,644194,2020-11-06 23:00:00,64,1132,1124,1,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2020,true
243950,508856,2015-02-01 18:00:00,16,376,4340,2,2,FT,,,,,false,true,0,false,FT,true,2015,true
233944,3417,2019-05-15 17:30:00,13,1477,303,1,4,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2019,true
292269,673644,2021-09-11 18:30:00,34,4516,908,1,0,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2021,false
300740,56113,2019-01-08 15:00:00,40,1612,1627,0,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2019,false
152467,332426,2020-09-03 18:45:00,80,1973,1918,2,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2020,true
204845,607147,2021-05-30 19:00:00,6,100,3248,0,1,FT,Juan Pulido,,2026-02-27 00:01:51.060209,2026-03-10 12:11:39.511006,true,true,1,true,FT,true,2021,false
330479,159181,2019-07-20 16:00:00,63,1312,1333,2,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2019,true
100551145,551145,2015-04-02 02:00:00,100000338,100013903,100003659,3,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2015,false
100804665,804665,2021-10-27 23:00:00,100000300,100002856,1088,0,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2021,false
263630,564798,2020-10-18 05:00:00,21,4379,492,0,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,1,true,FT,true,2020,false
101153872,1153872,2024-08-18 05:00:00,100000189,100001447,100001450,4,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2024,true
243817,508723,2014-09-27 14:30:00,16,369,371,1,1,FT,,,,,false,true,0,false,FT,true,2014,true
286552,1173243,2024-09-22 11:00:00,31,829,830,2,1,FT,Wan Tao,,2026-02-27 00:01:51.060209,2026-03-07 21:51:02.323768,true,true,1,true,FT,true,2024,true
101137628,1137628,2023-12-13 22:00:00,100000267,1082,1066,1,3,FT,C. Garay,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2023,true
100389394,389394,2015-06-20 08:00:00,100000191,100010214,100003763,3,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2015,false
359005,242610,2019-08-13 18:45:00,96,38,62,3,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2019,true
24735,1055287,2024-03-10 19:00:00,13,311,304,3,0,FT,B. Nijhuis,,2026-02-27 00:01:51.060209,2026-03-07 22:02:49.780019,true,true,0,false,FT,true,2024,false
321926,13549,2017-07-22 19:30:00,57,940,433,2,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2017,true
283591,153857,2019-11-29 18:00:00,30,786,782,1,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,1,true,FT,true,2019,true
101554322,1554322,2026-10-17 16:00:00,116,1324,100026409,,,NS,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,NS,false,2026,
101494010,1494010,2026-09-27 00:30:00,100000489,100004043,100027251,,,NS,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,NS,false,2026,
101354198,1354198,2025-03-01 21:30:00,100000604,949,947,0,0,PEN,Cinesio Mendes Junior,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,PEN,true,2025,false
59776,,2013-09-14 00:00:00,25,626,624,3,1,FT,,,,,false,true,1,true,FT,true,2013,true
101147752,1147752,2024-03-02 19:30:00,100000629,439,100001196,2,0,FT,Andreza Helena da Siqueira,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2024,false
557316,,2016-10-06 00:00:00,57,5147,434,1,0,FT,,,2026-03-11 00:03:55.273295,2026-03-11 00:03:55.273295,true,false,1,true,FT,true,2016,false
100335974,335974,2019-11-08 12:45:00,100000504,1504,100010515,2,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2019,false
111901,709256,2021-11-06 14:00:00,54,1248,1234,1,2,FT,F. Glova,,2026-02-27 00:01:51.060209,2026-03-10 12:02:21.118017,true,true,0,false,FT,true,2021,true
100408667,408667,2015-08-01 19:30:00,100000300,100002833,1145,0,2,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2015,false
100099123,99123,2017-03-07 11:15:00,100000291,1578,1564,1,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2017,false
616776,1306876,2024-09-29 09:00:00,124,4522,6212,1,0,FT,,,2026-03-23 22:33:15.814828,2026-03-23 22:33:15.814828,true,false,0,false,FT,true,2024,false
101138435,1138435,2023-11-01 10:00:00,100000298,100020071,6031,2,0,FT,A. Nukaew,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2023,false
536998,,2015-05-09 00:00:00,46,656,2605,1,3,FT,,,2026-03-11 00:02:05.589521,2026-03-11 00:02:05.589521,true,false,1,true,FT,true,2015,true
331140,145768,2016-08-28 16:30:00,64,4682,4681,4,2,FT,,,,,false,true,0,false,FT,true,2016,true
101184858,1184858,2024-04-28 12:00:00,100000364,5893,100023266,0,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2024,false
101514342,1514342,2026-02-08 13:15:00,100000402,100027318,100005241,1,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2026,true
620005,989609,2023-04-10 01:30:00,127,998,977,0,1,FT,,,2026-03-23 22:33:41.099262,2026-03-23 22:33:41.099262,true,false,0,false,FT,true,2023,false
91444,,2017-10-07 00:00:00,34,910,902,1,0,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2017,false
101317387,1317387,2024-12-07 08:30:00,100000398,100010106,100025416,4,1,FT,J. Akhter,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2024,true
300867,116572,2019-05-12 20:00:00,40,1631,1623,1,2,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2019,true
