id,fixture_id,team_id,player_id,player_name,is_starter,position,number,captain,minutes,rating
5059378,286622,825,69494,Pedro Delgado,false,M,4.0,false,15.0,6.6
2747331,236351,336,48185,José Ángel,true,,14.0,false,,
5075411,286993,855,99713,Endrick,false,F,95.0,false,,
3400334,252340,416,76497,Zak Delaney,true,,3.0,false,,
4371787,272147,622,70915,Boli Bolingoli-Mbombo,true,D,5.0,false,90.0,6.6
7328675,103837,1092,120367,Cristian Alvarez,true,,30.0,false,,
4292223,270367,4410,65243,Kemal Ademi,false,F,9.0,false,,
3321187,250296,412,75901,C. Dargo,false,,,false,,
6958911,318511,1263,132677,L. Janžekovič,true,,22.0,false,,
6039508,107802,1161,74137,N. Rak,false,M,27.0,false,28.0,6.3
4698815,95997,700,94336,Gabriel Aranda,true,D,39.0,false,90.0,6.2
9695912,360051,900,184228,David O'Connor,true,,5.0,false,,
2697669,24765,308,67418,Derensili Sanches Fernandes,false,F,30.0,false,11.0,6.9
6888616,101536,1078,85057,Cristian Palacios,true,F,30.0,false,89.0,7.2
4201231,268308,4395,87029,Aral Şimşir,true,M,58.0,false,64.0,6.5
8056075,334324,4692,149717,C. Valladares,true,,,false,,
4784911,279992,4449,95612,Smajl Suljevic,true,M,22.0,false,68.0,7.8
6043697,107548,1161,91555,Suad Sahiti,true,F,7.0,false,88.0,6.3
1945583,216472,244,58597,Paul Reulet,true,G,30.0,false,90.0,6.2
4372315,272161,631,64204,A. Riemann,false,M,9.0,false,6.0,6.8
7679289,328861,1595,144374,Jordan Elsey,true,D,23.0,false,90.0,7.0
4643710,278736,698,79526,Leonel Di Plácido,true,D,26.0,false,81.0,7.5
8624834,345515,1498,160019,R.  Krjauklis,false,,,false,,
4774363,279699,4450,69045,Robert Ahman-Persson,true,M,6.0,false,,
3665565,258317,478,80788,D. Remick,false,,15.0,false,,
9336587,355230,311,42990,Jordy Clasie,true,,6.0,false,,
7658924,328258,1294,144062,E. Rashica,true,F,19.0,false,,
1463720,206344,128,52939,Jorge Salinas,true,D,32.0,false,90.0,5.9
5910063,127866,1539,113413,Salem Aleedi,true,D,17.0,false,,
1303497,202636,99,48571,Fidel,true,M,16.0,false,90.0,7.0
1500745,207181,169,53395,G. Pasquale,false,,26.0,false,,
2376407,227438,265,63703,Jan Schöppner,true,M,3.0,false,90.0,7.2
1013070,195999,65,36681,Antony Evans,true,M,21.0,false,90.0,7.7
4851354,281651,4459,96228,W. Milovanovic,true,M,8.0,false,87.0,6.9
4813510,280780,765,96138,Eric Alexander Johansson,false,M,16.0,false,,
8834122,140950,1718,163155,T. Moshobane,true,,18.0,false,,
3653178,257972,469,80369,J. Hernández,true,,21.0,false,,
2534154,231299,287,63391,Lennart Grill,true,G,1.0,false,90.0,6.5
8838312,141064,1728,162244,N. Hackshaw,true,,15.0,false,,
2365346,21495,259,49008,Philipp Lienhart,true,D,3.0,false,90.0,7.3
7796886,115660,1327,145789,D. Petronijević,false,M,8.0,false,,
5015523,285756,805,98141,Li Shuai,true,G,27.0,false,90.0,6.3
3944705,263446,4375,83212,Kentaro Seki,false,G,21.0,false,,
7593982,327701,1279,79197,Taison,true,,7.0,false,,
9897277,366924,3389,65016,Dominik Kother,true,M,11.0,false,78.0,6.7
8051415,334124,1385,148677,Z. Atanasov,true,D,3.0,false,90.0,7.0
8014002,119292,1388,148816,I. Karadzhov,true,G,1.0,false,,
5990473,128421,1556,115454,Ali Nasser Al-Marri,true,,74.0,false,,
7138965,321670,960,78395,Michel,true,,,false,,
1411948,205403,128,49525,Arturo Molina Tornero,false,M,22.0,false,8.0,6.3
3422166,252929,434,77225,Emerson Santos,false,,,false,,
7292953,323273,445,137707,Fabio,false,,2.0,false,,
1427701,205764,127,51643,Guille Rosas,true,M,2.0,false,90.0,6.3
6364032,97203,989,120537,Auli Oliveros,false,M,33.0,false,,
8587395,122890,1468,67907,K. Tabiri,false,M,12.0,false,21.0,6.6
7815610,115491,1325,146177,Mateja Gašić,true,D,66.0,false,90.0,6.2
9677265,359531,101,48318,Michael Krohn-Dehli,true,M,7.0,false,68.0,7.0
720745,189157,31,18168,L. Peltier,false,D,14.0,false,,
8725014,347578,1714,162036,P. Doue,true,,3.0,false,,
472628,182946,33,1455,Alfred N'Diaye,true,M,10.0,false,90.0,6.0
3504640,254845,430,78156,Everton Felipe,true,M,18.0,false,60.0,7.1
334648,179080,2690,41470,J. Spicer,false,,19.0,false,,
248607,176572,2685,35967,T. Holmes-Dennis,true,D,17.0,false,,
6309886,98369,983,94586,Andrés Balanta,false,,5.0,false,,
7828392,115185,1318,145527,S. Cvetković,true,M,11.0,false,90.0,7.7
8435290,106103,1145,156411,Luis Romero,true,,55.0,false,,
6511922,312213,1659,123967,M. Boussalem,true,,,false,,
4786101,280025,758,95807,I. Sirelius,false,M,14.0,false,18.0,6.8
8702777,346477,4749,80996,Romain Gall,false,,9.0,false,,
5168100,289086,846,62655,Martin Angha,true,D,4.0,false,90.0,6.5
6087711,108790,1173,103451,T. De Vincenti,true,,10.0,false,,
6903622,317749,1072,131676,F. Gonzalez,true,,24.0,false,,
9784002,364597,2644,36079,J. Ashby,true,,,false,,
19898,169862,42,1631,K. Théophile-Catherine,true,,28.0,false,,
4268440,269802,587,68132,Zé Luís,true,F,9.0,false,90.0,6.5
1919615,215750,210,58233,A. Peuget,false,,19.0,false,,
6213286,98951,1011,93569,J. González,true,D,18.0,false,56.0,7.2
1714236,211987,177,53694,V. Di Cesare,true,D,5.0,false,,
4342702,271336,4416,89388,C. Ramsebner,true,,25.0,false,,
4335312,271141,605,79260,Du Queiroz,false,M,37.0,false,20.0,6.3
8337393,340470,1151,54357,R. Romo,true,,,false,,
4891865,282739,778,97263,Y. Dieudonne,false,,26.0,false,,
9668897,162305,122,49935,Enric Franquesa,true,D,3.0,false,,
7243209,93549,959,137236,Paraíba,true,M,8.0,false,90.0,6.3
7154515,322042,4370,76854,Derley,true,M,8.0,false,90.0,7.0
6098903,108609,1180,67191,R. Janga,true,F,32.0,false,,
5262504,291603,877,45086,J. Reid,false,F,11.0,false,,
8934833,151852,1999,43510,Sander Berge,true,M,8.0,false,89.0,6.9
5263692,291636,891,102437,J. Akpudje,true,D,44.0,false,,
9027039,157008,2842,167528,O. Leacock,true,,,false,,
2823730,238412,324,69721,I. Angulo,true,F,70.0,false,80.0,6.5
5272900,291870,906,75626,D. O'Conchubhair,true,,11.0,false,,
1343288,203738,110,49564,Juan Villar,true,M,18.0,false,90.0,6.5
7192351,94665,943,83198,Wellington,true,F,9.0,false,90.0,7.5
3697101,259193,461,80947,M. Azira,true,M,22.0,false,90.0,6.9
918539,193387,57,18330,P. Digby,true,M,4.0,false,90.0,6.2
6219554,99093,1012,119097,Santiago Kubiszyn,true,M,29.0,false,90.0,7.2
5047584,286368,805,98127,Pengfei Xie,true,F,14.0,false,61.0,7.0
924853,193562,66,46416,Tom Bloxham,false,F,18.0,false,20.0,6.3
9445968,152980,1844,140448,E. Kuč,true,M,20.0,false,,
6701870,314958,1062,127929,S. Vázquez,true,,,false,,
5580326,125824,923,106798,Khalid Al Barakah,false,D,3.0,false,1.0,
1433349,11920,126,51300,E. Jauregi,false,F,9.0,false,21.0,6.7
7601484,327913,278,63664,Ransford Yeboah Königsdörffer,true,F,11.0,false,68.0,7.3
2219669,223518,237,61318,Thomas Callens,false,G,16.0,false,,
2048861,218922,213,57553,Jérémy Le Douaron,true,M,22.0,false,73.0,6.3
1166753,199704,113,48629,Damián Suárez,true,D,22.0,false,90.0,7.3
7734267,329612,1310,99845,B. Planić,true,,15.0,false,,
3258192,248868,404,18193,C. Berra,true,D,6.0,false,,
3599104,37248,430,79429,Moreira,false,D,30.0,false,,
377577,180277,62,42182,R. Perry,false,,17.0,false,,
3164532,28959,369,74175,D. Kourmpelis,true,M,21.0,false,90.0,7.2
9786985,364680,44,44734,A. Dozzell,true,M,23.0,false,,
9697589,360098,5183,102877,R. Marshall,true,D,8.0,false,,
4476006,274832,639,55049,Darian Males,true,M,19.0,false,90.0,6.2
9566565,357059,983,79847,Juan Dinenno,true,F,9.0,false,96.0,6.5
1967630,217083,220,1523,Y. Sanogo,false,F,9.0,false,25.0,6.4
7294803,323315,4646,137861,Saidt Mustafa,false,,,false,,
9781387,363834,25,43408,T. Pukki,false,F,22.0,false,,
8457196,343230,1150,157544,Rommell Ibarra,true,,13.0,false,,
6304313,98856,993,120556,Felipe Parra,true,,30.0,false,,
5377836,294699,1816,53612,U. Ćosić,true,D,15.0,false,,
264573,177016,75,18535,D. Poleon,true,F,10.0,false,,
5542138,296288,936,106482,Ali Al Khaibari,true,,34.0,false,,
1560292,208526,157,54449,Miguel Veloso,true,M,44.0,false,90.0,7.0
2579606,232509,299,57878,Nicolas Isimat-Mirin,false,,2.0,false,,
5630745,297167,1509,108058,Yong-Tae Cho,true,,22.0,false,,
1222230,201136,101,49363,Óscar Rodríguez,false,M,14.0,false,34.0,7.5
6437743,310579,1198,122589,Szilárd Bokros,true,,4.0,false,,
7165407,322300,961,135246,Pará,true,D,6.0,false,95.0,
902999,4871,51,35292,L. Taylor,false,F,30.0,false,30.0,6.7
2301009,225774,278,62313,D. Diekmeier,true,D,2.0,false,24.0,6.5
5960142,303560,1551,114860,Mohammed Einas,true,,24.0,false,,
5265288,291680,879,101652,A. Räisänen,false,M,34.0,false,,
6055014,107091,1160,71726,Oleksandr Drambaev,true,D,55.0,false,45.0,5.6
4319108,59152,615,88883,R. Fernández,false,D,7.0,false,16.0,6.5
5882942,302339,1530,112831,Khalid Eisa,true,,17.0,false,,
7974922,333205,4688,69852,Rui Gomes,false,,95.0,false,,
5574245,125675,935,43183,Ahmed Hegazy,true,D,26.0,false,90.0,6.3
9163776,116347,331,70001,S. Guzmán,false,M,32.0,false,,
2189298,223044,218,55653,A. Richardson,false,M,24.0,false,31.0,6.2
2208751,19732,237,59619,Michel Diaz,false,D,4.0,false,20.0,6.9
4931453,283836,774,97513,Mikkel Brund,false,D,34.0,false,,
8101916,145005,1782,150711,L. Casildo,true,,,false,,
7941518,104348,1125,147147,Fabio Rojas,false,D,16.0,false,25.0,6.7
7852940,331262,1114,147124,Elfer Silva,true,,3.0,false,,
2457251,229634,282,62338,Bernd Nehrig,true,M,7.0,true,90.0,6.9
3479067,254268,2789,78370,Matheus Iacovelli,false,F,70.0,false,,
2687119,24522,299,63481,Malik Tillman,false,M,10.0,false,,
272530,177239,2650,18806,Neal Bishop,true,M,12.0,false,,
3054199,243992,388,65865,Atiba Hutchinson,true,,13.0,false,,
8218783,121804,1430,71665,K. Vroman,false,,1.0,false,,
632273,186767,10,43284,Ryan Sessegnon,false,D,30.0,false,29.0,6.7
2244247,224195,254,62217,Nils Petersen,true,,24.0,false,,
2543892,231543,273,62714,Paul Seguin,true,M,7.0,false,90.0,7.2
4684174,96756,719,84521,Enrique Triverio,false,F,9.0,false,11.0,6.7
8393977,342987,1151,103464,Francisco Pol Hurtado,false,,19.0,false,,
1285971,202221,117,50147,Nahuel Molina,false,D,16.0,false,25.0,7.2
2247725,224292,273,62432,A. Uchida,true,,22.0,false,,
1288622,202280,112,50530,Jesús Rodriguez,false,F,36.0,false,,
9693240,359976,1951,90436,R. Cecchini,true,,12.0,false,,
4610526,277824,703,93151,Roberto Ramírez,false,G,12.0,false,,
2892919,239900,348,42948,Aleksandar Mitrović,true,,45.0,false,,
8461799,343351,1480,66946,Dirk Abels,false,,12.0,false,,
6555298,134270,1643,124747,F. Boukerrit,true,,,false,,
4035834,265777,533,44181,Edson Álvarez,true,M,4.0,false,90.0,7.0
3835450,260452,478,81377,Alex Roldán,false,D,16.0,false,19.0,6.3
850498,192040,54,46410,M. Fondop-Talum,false,F,33.0,false,11.0,6.6
4013363,265175,511,84198,Kota Sanada,false,G,31.0,false,,
8355369,341265,1152,156534,Argenis González,true,,,false,,
575399,185256,16,44084,Pedro Porro,true,D,23.0,false,90.0,7.2
9016923,350572,1924,78193,Raphael Veiga,false,M,20.0,false,12.0,6.9
8252474,338954,349,71285,M. Bokadi,false,D,21.0,false,,
7510600,135985,1672,140799,E. Seedat,true,D,3.0,false,,
6328423,98017,993,120715,William Hurtado,true,M,14.0,false,57.0,6.6
5280145,292124,909,102844,A. Friel,true,,14.0,false,,
9494113,151462,650,90904,Shkelqim Vladi,false,F,9.0,false,,
8208675,338509,4333,70612,F. Frans,true,,,false,,
1370871,204467,127,48302,Marc Valiente,false,D,4.0,false,,
4637851,278574,695,79969,Pol Fernández,true,M,8.0,false,78.0,6.3
201234,175252,50,18649,J. Anderson,true,,15.0,false,,
1651079,210557,162,53810,Ivan Radovanović,false,M,16.0,false,,
6036039,107715,1161,116214,J. Mesa,false,D,2.0,false,,
7239506,94225,941,70378,Richard Ríos,true,M,18.0,false,47.0,5.9
1777264,212785,3456,55020,Junior Messias,true,M,30.0,false,94.0,8.2
6376772,308819,984,51384,Didier Moreno,true,M,6.0,false,90.0,7.3
6310302,98380,982,120573,Javier García,false,,30.0,false,,
3729454,260094,469,81463,E. Calvillo,false,M,26.0,false,,
9421824,356246,562,86132,N. Castro,false,F,9.0,false,29.0,6.3
2167083,222426,243,61339,M. Kikonda,false,M,8.0,false,8.0,6.3
2428450,228834,259,62329,Mike Frantz,true,M,8.0,false,,
8426469,106400,1147,156533,José Luis Granados,true,,30.0,false,,
5023312,285927,4477,98815,Pang Jiajun,false,G,34.0,false,,
3495486,254639,432,78401,Junior Sornoza,true,M,20.0,false,64.0,7.1
7381238,324124,1094,125499,Alex Caceres,true,,7.0,false,,
3107728,245382,370,73363,Bahadır Öztürk,true,D,5.0,false,23.0,3.0
7373535,103124,1091,138114,Ricardo Orihuela,true,M,18.0,false,92.0,7.2
6300024,98734,981,119414,Leandro Castellanos,true,G,22.0,true,90.0,8.0
8567608,123190,1474,149528,J. Soares,false,D,18.0,false,9.0,6.3
9049268,350955,1995,18780,Darren Randolph,true,,23.0,false,,
602984,185956,21,1797,W. Buckley,false,M,25.0,false,16.0,6.0
3169482,29085,388,43045,Arthur Masuaku,true,D,26.0,false,90.0,6.3
2694706,24692,314,67092,Mathias Kjølø,false,M,4.0,false,23.0,7.0
2557973,231907,301,65975,A. Kruiswijk,false,,8.0,false,,
3361623,251465,411,75542,C. Hamilton,true,,3.0,false,,
3684513,258843,467,80457,D. Ricketts,true,G,1.0,false,90.0,5.7
2207420,19698,242,61814,William Benard,false,M,34.0,false,8.0,6.7
9688789,359851,1932,184159,R. Solomin,true,,13.0,false,,
6225843,306687,1007,118487,Ivan Piedra,false,D,18.0,false,23.0,7.6
7952399,332409,1114,147948,Brian Sosa,true,D,27.0,false,67.0,6.7
7782014,115909,1327,126755,N. Nikolić,true,M,25.0,false,,
5257216,89869,882,95780,J. Pirttijoki,true,D,15.0,false,,
5547251,296414,928,106533,Ali Al-Mazidi,false,G,12.0,false,,
403409,180999,94,35818,L. Prosser,true,,5.0,false,,
4522382,275800,673,68184,Rafael Lopes,true,F,21.0,false,,
7969324,332941,1344,108377,Jun-Heong Park,true,,17.0,false,,
8527134,124515,307,67201,Thibo Baeten,false,F,9.0,false,10.0,6.3
2181715,222834,246,61431,X. Kouassi,true,D,4.0,false,90.0,6.9
3422779,252944,956,77456,Bruno Renan,false,,,false,,
5686206,126226,1515,108124,Kim Jin-Hyeok,true,,7.0,false,,
2893680,239921,351,61178,J. Thiaré,false,,16.0,false,,
5779049,301116,1613,111481,Mohamed Shehata,false,M,32.0,false,,
8360151,341413,1143,61133,Jose David Contreras,false,,,false,,
2593512,232895,1475,55212,Tyronne Ebuehi,false,D,28.0,false,,
1470023,206480,3198,53226,A. Escudero,false,M,20.0,false,,
9470720,152246,1166,116449,S. Ilinković,false,M,27.0,false,,
6211298,99390,1001,118678,Ricardo Adé,false,D,4.0,false,,
2298838,225714,278,55427,Filip Kostić,true,M,17.0,false,90.0,6.4
8831048,140866,1719,81304,M. Epps,true,,7.0,false,,
6321069,98677,976,119570,Sergio Mosquera,true,D,16.0,false,90.0,6.7
8663741,124653,1487,160688,E. Ivanovs,false,,88.0,false,,
5788322,133641,1635,111181,Mohamed Bazoka,true,D,4.0,false,,
9153556,118481,1341,89153,Gustavo Furtado,true,M,20.0,false,,
5213340,290293,880,101727,P. Onobi,true,,10.0,false,,
7958490,332553,1120,81605,Edison Flores,false,M,19.0,false,15.0,6.3
9831532,365734,2682,18898,C. Ball,true,,16.0,false,,
7133295,321533,964,77617,Bergson,true,,,false,,
6307158,98293,978,73212,Yoiver González,true,,19.0,false,,
739397,189674,4,43947,D. Spence,true,M,2.0,false,90.0,6.2
2558601,231925,1479,66009,R. Wielaert,false,,4.0,false,,
1024052,196307,82,46717,James Balagizi,true,F,20.0,false,90.0,6.3
