id,name,api_football_id,fd_name,rating_mu,rating_sigma,in_csv,in_pq
1033,Sportivo Ameliano,10487,,1509.8510458134401,5.220346768645495,true,true
100027844,Kena,27844,,1500.0,,false,false
1569,Shams Azar Qazvin,18159,,1555.6696936140572,4.843296070591181,true,true
237,Annecy,3012,Annecy,1534.2173935603023,3.0701256529002645,true,true
100016305,Zreče,16305,,1500.0,,false,false
2894,Czech Republic U18,21465,,1641.1467713666325,323.1169296776035,true,true
100010090,Sport Chavelines Juniors,10090,,1500.0,,false,false
100016479,Santa Cruz RS,16479,,1500.0,,false,false
100009016,Chattanooga Red Wolves,9016,,1500.0,,false,false
2214,Edgware Town,8772,,1213.6465335856678,320.314213121214,true,true
43,Sunderland,746,Sunderland,1549.7837207629864,2.8851464071676456,true,true
2018,Tikveš,4348,,1295.6170650748873,350.0,true,true
3674,Loon-Plage,13654,,1073.35527920746,334.2994583248313,true,true
6353,Firpo,4303,,1680.9556364763089,34.8636971340988,true,false
100010018,Água Santa,10018,,1500.0,,false,false
2606,Akademija Pandev,4194,,863.1179244671179,350.0,true,true
5142,Stafford Town,12074,,1500.0,350.0,true,true
5732,Eveil,27025,,1500.0,334.1776999081501,true,true
100018773,La Higuera,18773,,1500.0,,false,false
313,Almere City,419,Almere City,1447.4416685823292,3.7068831824314015,true,true
3523,Vannes,3129,,1206.0491046964005,350.0,true,true
3349,AUGC Deportiva,15523,,1252.5301550759573,350.0,true,true
4042,Castrense,4830,,906.2787494471327,305.6385070524424,true,true
100013296,Phetpittayakom Alumni,13296,,1500.0,,false,false
1088,Bolívar,3702,,1521.631207787981,3.3138456818237345,true,true
100011116,Lurgan Celtic,11116,,1500.0,,false,false
2609,Rylands,8918,,1449.8985416201147,336.2240403493613,true,true
100013815,Grecia,13815,,1500.0,,false,false
5216,Andover Town,11940,,1500.0,350.0,true,true
5043,Romsey Town,8911,,1252.5301550759573,350.0,true,true
5707,MJEP Cormontreuil,9290,,1546.5684919509454,321.2224112345397,true,true
2507,City of Liverpool,7630,,1351.3296265304311,319.62654253878486,true,true
6322,Bhayangkara FC,2443,,1602.458379797128,34.28604801399402,true,false
100000359,Carmarthen Town,359,,1500.0,,false,false
100017898,Vihiga Bullets,17898,,1500.0,,false,false
811,Yanbian,,Yanbian,1486.2948244090478,12.782608940676477,true,true
100001203,Altos,1203,,1500.0,,false,false
476,Philadelphia Union,1599,Philadelphia Union,1540.3968778722642,1.9367228835824537,true,true
3157,Móstoles,9712,,1157.468293546648,350.0,true,true
1304,Olimpik Donetsk,639,,1467.6453550409258,57.67609555809173,true,true
100010162,Budaörs,10162,,1500.0,,false,false
5916,Uruguay U17,21212,,1296.8155262500677,289.14194585945535,true,false
3831,La Châtaigneraie,3066,,1360.8949778949052,350.0,true,true
3148,Las Rozas,9395,,918.5406327926455,350.0,true,true
100011421,Parafrente Yonezawa,11421,,1500.0,,false,false
100018621,ToTe / Keparoi,18621,,1500.0,,false,false
3510,Alençon,3248,,1302.8541257784896,350.0,true,true
3072,Slovenia U21,8231,,1626.5621636921492,350.0,true,true
2687,Hartlepool,1366,Hartlepool,1481.0228181426949,2.0628142023254994,true,true
2452,Sporting Club Inkberrow,24348,,1193.4686740349298,309.0162803017109,true,true
100021506,Democracia,21506,,1500.0,,false,false
5232,Coggeshall United,8748,,1376.2650775379786,350.0,true,true
4624,Naft Tehran,2732,,1302.4569850394662,350.0,true,true
100002483,Isibania,2483,,1500.0,,false,false
5370,Albalonga,1586,,1376.2650775379786,350.0,true,true
1649,ES Setif,905,,1543.268313858779,3.5871307474211163,true,true
100007137,Okinawa SV,7137,,1500.0,,false,false
5130,Chinnor,11962,,1500.0,350.0,true,true
100018307,Nova Venécia,18307,,1500.0,,false,false
1894,Floriana,4625,,1126.9708133796944,247.72741206197847,true,true
100014292,Hiiumaa,14292,,1500.0,,false,false
100014011,Sheriff II,14011,,1500.0,,false,false
3069,Russia U21,8219,,1927.9896794041786,264.4757642420194,true,true
100001442,Zhejiang Yiteng,1442,,1500.0,,false,false
100020416,LP Saimai,20416,,1500.0,,false,false
1444,Excelsior Virton,4715,,1452.9783609476847,32.60210213839879,true,true
806,Tianjin Jinmen Tiger,837,Tianjin Jinmen Tiger,1498.6056683404067,2.077253477344523,true,true
100020821,North Brisbane,20821,,1500.0,,false,false
5881,Walcheren,26706,,1299.5054231486092,328.3410422696135,true,true
1053,Cerro Largo,2369,,1495.482139709602,5.762479060154384,true,true
100022601,Pakkran United,22601,,1500.0,,false,false
3465,Pordenone,862,Pordenone,1489.6129661375355,11.393954724800267,true,true
100011427,Hokuriku,11427,,1500.0,,false,false
100014353,Dinamo Rīga,14353,,1500.0,,false,false
5727,Chalon,27020,,1561.1607243530207,293.8509606840292,true,true
5514,Borgo,3254,,1500.0,350.0,true,true
2224,Eastbourne Town,8769,,1290.5779075303653,324.68320837158853,true,true
100004609,Qrendi,4609,,1500.0,,false,false
100018624,TuKV II,18624,,1500.0,,false,false
100013094,Piauí,13094,,1500.0,,false,false
1079,Cobresal,2331,,1499.6489959905487,3.244870044290466,true,true
100024993,Adhyaksa,24993,,1500.0,,false,false
1230,Hapoel Kfar Saba,4497,,1462.795352250271,32.97430552769559,true,true
100025640,Leki,25640,,1500.0,,false,false
1256,Nafta,4376,,1468.7476894619654,38.27250873551972,true,true
746,Malmo FF,375,Malmo FF,1574.964254395817,3.235396458137846,true,true
5252,Atletico Calatayud,26727,,1129.7752018681376,322.6212108406979,true,true
100011667,Linköping City,11667,,1500.0,,false,false
328,Vizela,810,Vizela,1513.042183331939,3.3879378138226874,true,true
6163,Karcag SE,17289,,1453.4990029235955,23.836285582334142,true,false
100023265,Shenzhen Juniors,23265,,1500.0,,false,false
2661,Rushall Olympic,7743,,1836.7392634277696,310.33807376119665,true,true
6363,Jocoro,4305,,1327.5740867988288,118.2797347157672,true,false
100013546,Sudet II,13546,,1500.0,,false,false
35,Huddersfield,37,Huddersfield,1510.4575528887026,2.4498738252548,true,true
100004247,Olimpia Grudziądz,4247,,1500.0,,false,false
3145,Parla Escuela,25035,,1440.9422318478832,350.0,true,true
100020130,Gančani,20130,,1500.0,,false,false
100027680,Chongqing Handa,27680,,1500.0,,false,false
2038,Sheringham,19835,,1809.3368825648843,350.0,true,true
100007780,Madureira,7780,,1500.0,,false,false
5279,Torrent,15348,,1258.176412650231,291.72343676407485,true,true
1903,Iran,22,,2070.646525234424,259.68609764785776,true,true
3117,Hall Road Rangers,8803,,1135.2079014979481,350.0,true,true
3130,San Tirso,25038,,1186.3809016592927,350.0,true,true
100004065,New York RB III,4065,,1500.0,,false,false
100002514,Petaling Jaya City,2514,,1500.0,,false,false
100011392,Rivoli United,11392,,1500.0,,false,false
100019490,Silibwet,19490,,1500.0,,false,false
2191,Harefield United,8813,,1424.1556165148554,310.93568040927954,true,true
100012664,Police,12664,,1500.0,,false,false
417,Ayr,1387,Ayr,1496.735225319612,2.6326454703294973,true,true
1037,12 de Octubre,3832,,1455.8494268570803,32.17488377404709,true,true
