fixture_id,home_win,draw,away_win,bookmaker,source,in_csv,in_pq,known_at
594094,2.1,3.62,3.46,Pinnacle,API-Football-closing,true,false,2019-08-26 00:00:00
592576,5.59,4.53,1.54,Pinnacle,API-Football-closing,true,false,2022-09-17 00:00:00
576145,5.62,3.59,1.69,Pinnacle,API-Football-closing,true,false,2023-07-16 00:00:00
201164,3.2,3.0,2.45,Bet365,CSV,false,true,2021-08-29 17:30:00
259302,2.27,3.26,3.61,Pinnacle,API-Football-closing,true,false,2017-05-07 02:30:00
242914,3.04,3.11,2.62,Pinnacle,API-Football-closing,true,true,2025-03-16 12:30:00
205289,1.84,3.76,4.55,Pinnacle,API-Football-closing,true,true,2022-05-15 14:00:00
202503,2.15,3.0,3.8,Bet365,API-Football-closing,true,true,2026-01-26 20:00:00
11867,1.8,3.47,5.36,Pinnacle,API-Football-closing,true,true,2023-09-10 14:15:00
526751,2.11,3.48,3.75,Pinnacle,API-Football-closing,true,false,2021-10-03 00:00:00
204186,1.65,3.33,7.33,Pinnacle,API-Football-closing,true,false,2020-01-24 20:00:00
592737,3.33,3.78,2.08,Pinnacle,API-Football-closing,true,false,2022-12-10 00:00:00
241662,3.4,3.6,2.0,Bet365,CSV,false,true,2020-03-07 19:00:00
230848,1.64,3.94,6.0,Pinnacle,API-Football-closing,true,true,2022-02-05 12:30:00
130022,1.79,4.1,3.98,Pinnacle,The-Odds-API,true,true,2025-01-17 06:00:00
12032,4.47,3.28,2.0,Pinnacle,API-Football-closing,true,true,2023-12-17 13:00:00
95045,1.16,8.1,16.12,Pinnacle,API-Football-closing,true,true,2024-05-11 22:45:00
193709,4.04,3.3,2.04,Pinnacle,API-Football-closing,true,true,2025-03-04 19:45:00
206364,2.47,3.34,3.03,Pinnacle,API-Football-closing,true,true,2025-09-29 18:30:00
233926,6.31,5.2,1.45,Pinnacle,API-Football-closing,true,false,2019-04-24 18:45:00
191224,1.95,3.75,4.0,Bet365,CSV,false,true,2019-08-03 14:00:00
