fixture_id,team_id,team_name,coach_name,coach_api_id,formation,in_csv,in_pq
143611,1763,Santos DE Guapiles,W. Centeno,697,,false,true
349643,1965,Hungary,M. Rossi,74,3-5-2,false,true
202387,140,Oviedo,Veljko Paunović,1973,4-2-3-1,false,true
255878,947,Chapecoense-sc,Jair Ventura,3054,4-1-4-1,false,true
257312,441,Vasco,Fernando Diniz Silva,136,4-2-3-1,false,true
102073,1083,Antofagasta,D. Reveco,15816,4-4-2,false,true
122413,1455,Samgurali,U. Sosiashvili,8107,,false,true
261566,499,Cerezo Osaka,,,,false,true
250268,416,Morton,,,,false,true
286450,826,Zhejiang Professional,Jordi Vinyals,1705,4-2-3-1,false,true
177322,75,AFC Wimbledon,N. Ardley,675,4-3-3,false,true
100045950,283,VfL Osnabruck,D. Thioune,1334,,false,false
145303,1783,CD Olimpia,P. Troglio,2759,,false,true
204929,3189,Malaga,José Alberto López,2115,4-2-3-1,false,true
325513,4659,Free State Stars,T. Sithole,8991,,false,true
126687,1505,Ulsan Hyundai FC,Hong Myung-Bo,10461,4-2-3-1,false,true
266847,556,Aalesund,,,,false,true
263552,494,Sanfrecce Hiroshima,H. Jofuku,554,3-4-2-1,false,true
107950,1184,Nea Salamis,S. Poursaitidis,2070,3-5-2,false,true
128871,1563,Havadar,O. Ravankhah,11154,,false,true
312734,1652,US Biskra,N. Leknaoui,2259,,false,true
329011,1584,Melbourne Victory,K. Muscat,3272,4-3-3,false,true
107214,1160,NK Osijek,Z. Zekić,2488,4-3-3,false,true
180229,34,Plymouth,,,,false,true
212404,4327,Cosenza,P. Braglia,1605,4-3-3,false,true
190838,23,Leicester,Martí Cifuentes Corvillo Bajare,1878,4-2-3-1,false,true
337533,1703,CA Bizertin,M. Kanzari,346,,false,true
275339,668,Legia,Sá Pinto,2205,4-2-3-1,false,true
313634,1213,Maccabi Haifa,R. Meulensteen,11725,,false,true
284248,771,Aarhus,U. Rösler,1389,3-4-2-1,false,true
325548,1687,Maritzburg Utd,,,,false,true
150217,101,Sevilla,Lopetegui,1594,4-3-3,false,true
14349,154,Verona,M. Baroni,2915,4-2-3-1,false,true
350472,1906,Argentina,,,4-3-3,false,true
159191,2954,Cambodia,F. Dalmás,5690,3-5-2,false,true
267545,555,Stabaek,H. Berg,1954,4-4-1-1,false,true
368021,240,Bastia,G. Printant,27,,false,true
42675,489,Charlotte,C. Lattanzio,19427,4-3-3,false,true
353107,1343,Benfica B,,,,false,true
210566,173,Sampdoria,D. Stanković,7766,3-4-2-1,false,true
99628,1015,Delfin SC,G. Duró,272,4-3-3,false,true
274675,650,Lugano,M. Croci-Torti,15623,4-3-3,false,true
354702,1305,FK Crvena Zvezda,V. Milojević,2511,4-2-3-1,false,true
278048,719,Huracan,J. Azconzábal,3506,4-2-3-1,false,true
220708,3663,Bourg-en-bresse 01,,,,false,true
254209,4370,Santa Cruz,Doriva,226,4-2-3-1,false,true
218911,211,Paris SG,Luis Enrique,193,4-3-3,false,true
185093,7,Brighton,R. De Zerbi,2424,4-2-3-1,false,true
274645,4422,FC Sion,P. Tramezzani,2512,3-4-1-2,false,true
200839,122,Levante,Paco López,1592,4-4-2,false,true
306837,1005,Tecnico Universitario,Geovanny Patricio Cumbicus Castillo,2466,3-4-3,false,true
300776,1621,Pyramids FC,R. Díaz,3370,,false,true
101720,1074,Huachipato,Igor Oca,13435,5-3-2,false,true
147505,1829,Panserraikos,P. García,13242,4-2-3-1,false,true
100912,1043,Deportivo Maldonado,G. Díaz,502,4-4-2,false,true
184738,24,Watford,R. Hodgson,9,4-3-3,false,true
