fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,home_xg_ht,away_xg_ht,stats_fetched_at,in_csv,in_pq,xg_covered,xg_nulled,known_at
249266,7,11,0,4,5,9,2,2,4,1,0,0,4,5,6,2,0,0,0.65,1.11,34,66,20,10,1,3,50,77,0,0,,,2026-03-10 12:19:02.428399,true,true,true,false,2021-03-03 19:45:00
323337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,true,false,true,,2018-03-03 23:00:00
214418,11,14,2,4,7,10,4,4,2,1,0,0,4,1,3,1,0,0,0.95,1.29,46,54,19,14,1,2,69,72,0,2,,,,true,true,true,false,2025-02-01 15:45:00
627650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,true,false,true,,2025-11-01 13:45:00
313077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,true,false,true,,2017-02-05 22:45:00
342709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,true,false,true,,2019-03-31 21:45:00
611990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,true,false,true,,2025-05-03 06:45:00
132401,10,16,1,4,5,10,5,6,2,6,0,0,2,7,1,1,0,0,0.75,1.36,27,73,10,12,0,3,58,84,0,0,,,,true,true,true,false,2024-12-30 16:45:00
278931,21,5,7,1,11,3,10,2,4,0,0,0,7,0,2,2,0,0,1.62,0.42,,,,,,,,,1,1,,,,true,true,true,false,2019-09-29 22:30:00
218890,15,8,8,2,9,5,6,3,3,3,2,0,6,8,2,3,0,1,2.54,0.68,48,52,13,15,0,4,81,76,1,2,,,,true,true,true,false,2023-08-13 12:45:00
100878859,23,12,6,4,13,5,10,7,5,3,,,10,5,3,2,,,,,50,50,14,15,2,0,66,66,1,0,,,2026-07-04 23:33:06,false,false,true,,2022-08-06 14:15:00
100593507,11,9,4,7,,,,,,,,,6,3,2,3,0,0,,,45,55,12,27,4,2,,,1,1,,,2026-07-04 23:33:06,false,false,true,,2020-11-01 14:45:00
335467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,true,false,true,,2019-02-24 03:00:00
186713,14,14,5,5,12,8,2,6,5,2,0,0,7,7,2,2,0,0,1.45,1.13,,,,,,,,,2,0,,,,true,true,true,false,2017-02-05 16:45:00
335646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,true,false,false,,2020-01-26 02:45:00
237187,19,10,5,4,10,7,9,3,7,1,0,0,10,5,5,5,0,0,1.47,0.91,,,,,,,,,0,1,,,,true,true,true,false,2017-11-26 19:45:00
313370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,true,false,true,,2019-02-18 23:30:00
146820,12,5,7,2,0,0,0,0,0,0,0,0,6,4,2,0,0,0,,,,,4,4,0,0,,,1,0,,,2026-03-10 11:50:31.280816,true,true,false,true,2022-05-08 18:45:00
370246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,true,false,false,,2019-10-30 20:30:00
187214,10,14,3,4,8,8,2,6,3,3,0,0,6,3,1,1,0,0,0.99,1.13,,,,,,,,,0,0,,,,true,true,true,false,2017-12-29 21:30:00
112755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,2026-03-10 12:10:28.844587,true,true,false,true,2021-07-17 16:45:00
100732195,18,11,6,5,10,5,8,6,3,4,,,6,2,2,2,,,,,55,45,12,20,,,82,75,0,1,,,2026-07-04 23:33:06,false,false,true,,2022-02-20 17:45:00
623223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,true,false,true,,2023-06-11 13:15:00
144544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,true,true,false,true,2020-10-28 03:45:00
602111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,true,false,true,,2025-11-15 16:45:00
