id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo,in_csv,in_pq
35391,174718,Jeremy Balmy,,,,,,,https://media.api-sports.io/football/players/174718.png,true,true
216447,93508,O. Onyeike,,,,,,,,true,true
141030,46325,B. Pule,,,,,,,,true,true
102424,455279,E. Saarela,,,,,,,,true,true
215287,38589,A. Manuhutu,,,,,,,https://media.api-sports.io/football/players/38589.png,true,true
72579,62737,Ö. Karabulut,,,,,,,,true,true
173685,475500,Henrique Kaio,,,,,,,https://media.api-sports.io/football/players/475500.png,true,true
182453,75616,M. Chavarría,,,,,,,,true,true
88622,340413,Egor Mosin,,,,,,,https://media.api-sports.io/football/players/340413.png,true,true
126666,111143,N. Mizrahi,,,,,,,,true,true
110464,535253,K. Raiss,,,,,,,,true,true
114896,42272,Ayoub Mashhoor,,,,,,,,true,true
99955,42521,M. Neicuțescu,,,,,,,,true,true
93982,278357,Sergio Sánchez,,,,,,,https://media.api-sports.io/football/players/278357.png,true,true
58709,2191,E. Gertmonas,,,,,,,https://media.api-sports.io/football/players/2191.png,true,true
160803,130427,A. Ozols,,,,,,,,true,true
182633,285305,Álvaro Cascajo,,,,,,,https://media.api-sports.io/football/players/285305.png,true,true
59923,360098,J. Othman,,,,,,,https://media.api-sports.io/football/players/360098.png,true,true
130779,11532,J. Soto,,,,,,,,true,true
67406,359390,Givairo Read,,,,,,,https://media.api-sports.io/football/players/359390.png,true,true
205907,281726,S. Karamoko,,,,,,,,true,true
63559,14335,Mario Vušković,,,,,,,https://media.api-sports.io/football/players/14335.png,true,true
143136,141898,Leonidas,,,,,,,https://media.api-sports.io/football/players/141898.png,true,true
44626,21104,Randal Kolo Muani,,,,,,,https://media.api-sports.io/football/players/21104.png,true,true
52015,342340,Mario Fuente,,,,,,,https://media.api-sports.io/football/players/342340.png,true,true
121184,348906,Luis Escorcia,,,,,,,https://media.api-sports.io/football/players/348906.png,true,true
76883,80646,Édson Silva,,,,,,,https://media.api-sports.io/football/players/80646.png,true,true
44965,19648,G. Alexander,,,,,,,https://media.api-sports.io/football/players/19648.png,true,true
163694,145416,T. Zali,,,,,,,,true,true
121300,538185,J. Ramirez,,,,,,,,true,true
136369,78019,Balotelli,,,,,,,,true,true
50086,290495,Vere,,,,,,,https://media.api-sports.io/football/players/290495.png,true,true
95170,415129,Fabricio Amato,,,,,,,https://media.api-sports.io/football/players/415129.png,true,true
57510,422153,Matteo Cichella,,,,,,,https://media.api-sports.io/football/players/422153.png,true,true
199093,22370,A. Carmo,,,,,,,,true,true
134367,68401,A. Gholamzadeh,,,,,,,,true,true
174945,3770,M. Nuriu,,,,,,,,true,true
73347,105256,B. Güngör,,,,,,,,true,true
165035,105843,A. Abiken,,,,,,,https://media.api-sports.io/football/players/105843.png,true,true
35114,82868,C. Sutherland,,,,,,,,true,true
77283,114476,Leonardo,,,,,,,,true,true
153573,488293,W. Tene,,,,,,,,true,true
145184,98473,R. Ivković,,,,,,,,true,true
173747,465170,Guilherme Meira Ferreira Alves,,,,,,,https://media.api-sports.io/football/players/465170.png,true,true
145819,295247,Dragan Čubra,,,,,,,https://media.api-sports.io/football/players/295247.png,true,true
139177,578996,A. Guillermo,,,,,,,,true,true
180050,419580,Joshua Beecher,,,,,,,https://media.api-sports.io/football/players/419580.png,true,true
135664,68500,Dedê,,,,,,,,true,true
