key,name,category_key,category_name,max_events,times_seen,sources
soccer-jamaica-premier-league,Premier League,jamaica,Jamaica,0,0,probe
soccer-japan-emperor-cup,Emperor Cup,japan,Japan,0,0,probe
soccer-japan-j-league,J.League,japan,Japan,0,0,probe
soccer-japan-super-cup,Super Cup,japan,Japan,0,0,probe
soccer-jordan-super-cup,Super Cup,jordan,Jordan,0,0,probe
soccer-kazakhstan-premier-league,Premier League,kazakhstan,Kazakhstan,8,2,"feed,probe"
soccer-kazakhstan-super-cup,Super Cup,kazakhstan,Kazakhstan,0,0,probe
soccer-kenya-premier-league,Premier League,kenya,Kenya,0,0,probe
soccer-kenya-super-cup,Super Cup,kenya,Kenya,0,0,probe
soccer-kenya-super-league,Super League,kenya,Kenya,0,0,probe
soccer-kosovo-first-league,First League,kosovo,Kosovo,0,0,probe
soccer-kosovo-superliga,Superliga,kosovo,Kosovo,0,0,probe
soccer-kuwait-division-1,Division 1,kuwait,Kuwait,0,0,probe
soccer-kuwait-premier-league,Premier League,kuwait,Kuwait,0,0,probe
soccer-kuwait-super-cup,Super Cup,kuwait,Kuwait,0,0,probe
soccer-latvia-1-liga,1.Liga,latvia,Latvia,0,0,probe
soccer-latvia-virsliga,Virsliga,latvia,Latvia,5,2,feed
soccer-lebanon-premier-league,Premier League,lebanon,Lebanon,0,0,probe
soccer-lebanon-super-cup,Super Cup,lebanon,Lebanon,0,0,probe
soccer-lithuania-a-lyga,A Lyga,lithuania,Lithuania,1,0,probe
soccer-lithuania-super-cup,Super Cup,lithuania,Lithuania,0,0,probe
soccer-malawi-super-league,Super League,malawi,Malawi,0,0,probe
soccer-malaysia-cup,Cup,malaysia,Malaysia,0,0,probe
soccer-malaysia-fa-cup,FA Cup,malaysia,Malaysia,0,0,probe
soccer-malaysia-premier-league,Premier League,malaysia,Malaysia,0,0,probe
soccer-malaysia-super-league,Super League,malaysia,Malaysia,0,0,probe
soccer-maldives-1-division,1. Division,maldives,Maldives,0,0,probe
soccer-mali-premier-division,Premier Division,mali,Mali,0,0,probe
soccer-malta-first-division,Challenge League,malta,Malta,0,0,probe
soccer-malta-premier-league,Premier League,malta,Malta,0,0,probe
soccer-malta-super-cup,Super Cup,malta,Malta,0,0,probe
soccer-mexico-copa-mx,Copa MX,mexico,Mexico,0,0,probe
soccer-mexico-t90c7-liga-mx-apertura,"Liga MX, Apertura",mexico,Mexico,1,2,feed
soccer-mexico-liga-premier,Liga Premier,mexico,Mexico,0,0,probe
soccer-mexico-primera-division,Primera Division,mexico,Mexico,0,0,probe
soccer-moldova-divizia-nationala,Divizia Nationala,moldova,Moldova,0,0,probe
soccer-moldova-super-cup,Super Cup,moldova,Moldova,0,0,probe
soccer-myanmar-cup,Cup,myanmar,Myanmar,0,0,probe
soccer-myanmar-national-league,National League,myanmar,Myanmar,0,0,probe
soccer-netherlands-eredivisie,Eredivisie,netherlands,Netherlands,1,2,"feed,probe"
soccer-new-zealand-premiership,National League,new-zealand,New Zealand,1,2,"feed,probe"
soccer-nicaragua-segunda-division,Liga de Ascenso,nicaragua,Nicaragua,0,0,probe
soccer-nicaragua-primera-division,Primera Division,nicaragua,Nicaragua,0,0,probe
soccer-macedonia-super-cup,Super Cup,macedonia,North Macedonia,0,0,probe
soccer-northern-ireland-championship,Championship,northern-ireland,Northern Ireland,0,0,probe
soccer-northern-ireland-premiership,Premiership,northern-ireland,Northern Ireland,0,0,probe
soccer-norway-1st-division,1st Division,norway,Norway,9,2,feed
soccer-norway-eliteserien,Eliteserien,norway,Norway,9,2,"feed,probe"
soccer-norway-super-cup,Super Cup,norway,Norway,0,0,probe
soccer-pakistan-premier-league,Premier League,pakistan,Pakistan,0,0,probe
soccer-palestine-cup,Cup,palestine,Palestine,0,0,probe
soccer-panama-cup,Cup,panama,Panama,0,0,probe
soccer-paraguay-copa-paraguay,Copa Paraguay,paraguay,Paraguay,2,2,feed
soccer-paraguay-primera-division,Primera Division,paraguay,Paraguay,0,0,probe
soccer-paraguay-segunda-division,Segunda Division,paraguay,Paraguay,1,0,"feed,probe"
soccer-peru-primera-division,Primera Division,peru,Peru,10,2,"feed,probe"
soccer-peru-segunda-division,Segunda Division,peru,Peru,0,0,probe
soccer-poland-ekstraklasa,Ekstraklasa,poland,Poland,1,2,"feed,probe"
soccer-poland-puchar-polski,Puchar Polski,poland,Poland,1,2,feed
soccer-poland-super-cup,Super Cup,poland,Poland,1,2,"feed,probe"
soccer-portugal-super-cup,Super Cup,portugal,Portugal,0,0,probe
soccer-qatar-stars-league,Stars League,qatar,Qatar,0,0,probe
soccer-ireland-first-division,First Division,ireland,Republic Of Ireland,6,2,"feed,probe"
soccer-ireland-premier-division,Premier Division,ireland,Republic Of Ireland,6,2,"feed,probe"
soccer-south-korea-fa-cup,FA Cup,south-korea,Republic Of Korea,0,0,probe
soccer-south-korea-k-league-1,K-League 1,south-korea,Republic Of Korea,6,2,feed
soccer-south-korea-k-league-2,K-League 2,south-korea,Republic Of Korea,9,2,feed
soccer-south-korea-national-league,National League,south-korea,Republic Of Korea,0,0,probe
soccer-south-korea-wk-league,WK-League,south-korea,Republic Of Korea,2,2,feed
soccer-romania-liga-i,Liga I,romania,Romania,8,2,"feed,probe"
soccer-romania-super-cup,Super Cup,romania,Romania,2,2,"feed,probe"
soccer-russia-football-national-league,1. Liga,russia,Russia,1,2,feed
soccer-russia-premier-league,Premier League,russia,Russia,1,2,"feed,probe"
soccer-russia-super-cup,Super Cup,russia,Russia,1,2,"feed,probe"
soccer-saudi-arabia-kings-cup,Kings Cup,saudi-arabia,Saudi Arabia,0,0,probe
